	voice Midi Diff								present		 Best		Sec

printNotes: i= 149-<1788 1743  45>,  	Bb2 --   1/32nd( 17) <      > 	V 18 - M 34	=-16  %-89  	q= +1  %+6  	 0.099(76)<-----%89   %6

printNotes: i= 150-<1626 1608  18>,  	Ak2 -- 1/16th..( 60) <      > 	V 58 - M 34	=+24  %+41  	q= -2  %-3  	 0.331(76)<-----%41   %3

printNotes: i= 151-<1776 1743  33>,  	Bb2 --   1/32nd( 17) <      > 	V 19 - M 34	=-15  %-79  	q= +2  %+11  	 0.104(76)<-----%79   %11

printNotes: i= 152-<1611 1608   3>,  	Ak2 --  1/16th.( 51) <      > 	V 47 - M 34	=+13  %+28  	q= -4  %-9  	 0.267(76)<-----%28   %9

printNotes: i= 153-<1745 1743   2>,  	Bb2 --   1/32nd( 17) <      > 	V 17 - M 34	=-17  %-100  	q=  +  %+0  	 0.093(76)<-----%100   %0

printNotes: i= 154-<1626 1608  18>,  	Ak2 --   1/16th( 34) <      > 	V 39 - M 68	=-29  %-74  	q= +5  %+13  	 0.221(76)<-----%74   %13

printNotes: i= 155-<1749 1743   6>,  	Bb2 --    1/8th( 68) <      > 	V 69 - M 68	= +1  %+1  	q= +1  %+1  	 0.395(76)
printNotes: i= 156-<1747 1743   4>,  	Bb2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(76)<-- same note
printNotes: i= 157-<1642 1608  34>,  	Ak2 --  1/16th.( 51) <      > 	V 48 - M 34	=+14  %+29  	q= -3  %-6  	 0.273(76)<-----%29   %6

printNotes: i= 158-<1870 1962 -92>,  	 C3 --  1/64th.( 13) <      > 	V 10 - M  9	= +1  %+10  	q= -3  %-30  	 0.052(76)
printNotes: i= 159-<1662 1608  54>,  	Ak2 --   1/16th( 34) <      > 	V 39 - M 17	=+22  %+56  	q= +5  %+13  	 0.221(76)<-----%56   %13



silence
