	voice Midi Diff								present		 Best		Sec

printNotes: i= 127-<2606 2681 -75>,  	 G3 --    1/4th(128) <      > 	V143 - M128	=+15  %+10  	q=+15  %+10  	 0.824(81)
printNotes: i= 128-<2280 2462 -182>,  	 F3 --    1/4th(128) <1*sela> 	V148 - M160	=-12  %-8  	q=+20  %+14  	 0.853(81)
printNotes: i= 129-<2361 2355   6>,  	 E3 --   1/64th(  8) <      > 	V 10 - M 32	=-22  %-220  	q= +2  %+20  	 0.052(81)<-----%220   %20 <<

printNotes: i= 130-<2168 2462 -294>,  	 F3 --    1/4th(128) <1*sela> 	V158 - M 32	=+126  %+80  	q=+30  %+19  	 0.911(81)<-----%80   %19



silence
printNotes: i= 131-<   0   40 -40>,  	Slc --   half..(449) <      > 	V443 - M609	=-166  %-37  	q= -6  %-1  	 2.566(81)<-----%37   %1

printNotes: i= 132-<1889 1972 -83>,  	 C3 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)
printNotes: i= 133-<2381 2462 -81>,  	 F3 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 134-<1637 2462 -825>,  	 F3 --   1/16th( 32) <      > 	V 39 - M 64	=-25  %-64  	q= +7  %+18  	 0.221(81)<-- same note<-----%64   %18

printNotes: i= 135-< 830 1972 -1142>,  	 C3 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(81)<-----%14   %0

printNotes: i= 136-<2435 2462 -27>,  	 F3 --   1/8th.( 96) <-1*sela> 	V 80 - M 96	=-16  %-20  	q=-16  %-20  	 0.459(81)
printNotes: i= 137-<2474 2681 -207>,  	 G3 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(81)<-----%39   %4

printNotes: i= 138-<1935 2462 -527>,  	 F3 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 139-<2435 2462 -27>,  	 F3 -- 1/32nd..( 28) <      > 	V 26 - M 64	=-38  %-146  	q= -2  %-8  	 0.145(81)<-- same note<-----%146   %8

printNotes: i= 140-<1386 2355 -969>,  	 E3 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 141-<2456 2462  -6>,  	 F3 --   1/4th.(192) <      > 	V185 - M 32	=+153  %+83  	q= -7  %-4  	 1.068(81)<-----%83   %4



silence
printNotes: i= 142-<   0   40 -40>,  	Slc --   1/4th.(192) <-1*sela> 	V173 - M224	=-51  %-29  	q=-19  %-11  	 0.998(81)<-----%29   %11

printNotes: i= 143-<1082 1972 -890>,  	 C3 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)
printNotes: i= 144-<1997 1972  25>,  	 C3 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(81)<-- same note<-----%28   %4

printNotes: i= 145-<2031 2462 -431>,  	 F3 --  1/16th.( 48) <      > 	V 50 - M 32	=+18  %+36  	q= +2  %+4  	 0.284(81)<-----%36   %4

printNotes: i= 146-<2446 2462 -16>,  	 F3 --    1/4th(128) <      > 	V128 - M128	=  +  %+0  	q=  +  %+0  	 0.737(81)<-- same note
printNotes: i= 147-<2440 2462 -22>,  	 F3 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note
printNotes: i= 148-<2476 2462  14>,  	 F3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 149-<1637 2781 -1144>,  	Ab3 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-----%88   %6

printNotes: i= 150-<2609 2681 -72>,  	 G3 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 151-<1925 2462 -537>,  	 F3 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)
printNotes: i= 152-<2383 2462 -79>,  	 F3 --   1/8th.( 96) <      > 	V 96 - M 96	=  +  %+0  	q=  +  %+0  	 0.551(81)<-- same note
printNotes: i= 153-<2364 2355   9>,  	 E3 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(81)<-----%191   %9 <<

printNotes: i= 154-<2477 2462  15>,  	 F3 --    1/4th(128) <      > 	V140 - M 32	=+108  %+77  	q=+12  %+9  	 0.807(81)<-----%77   %9



silence
printNotes: i= 155-<   0   40 -40>,  	Slc --  1/16th.( 48) <      > 	V 43 - M 96	=-53  %-123  	q= -5  %-12  	 0.244(81)<-----%123   %12

printNotes: i= 156-<1659 1972 -313>,  	 C3 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)
printNotes: i= 157-<2427 2462 -35>,  	 F3 --   1/8th.( 96) <      > 	V 90 - M 96	= -6  %-7  	q= -6  %-7  	 0.517(81)
printNotes: i= 158-<2384 2355  29>,  	 E3 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 159-<2193 2185   8>,  	 D3 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(81)<-----%39   %4

printNotes: i= 160-<2313 2355 -42>,  	 E3 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 161-<2491 2462  29>,  	 F3 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(81)<-----%220   %20 <<

printNotes: i= 162-<2356 2355   1>,  	 E3 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-----%88   %6

