	voice Midi Diff								present		 Best		Sec

printNotes: i= 97-<1585 1602 -17>,  	Ak2 --  1/32nd.( 25) <      > 	V 24 - M 33	= -9  %-38  	q= -1  %-4  	 0.134(79)<-----%38   %4

printNotes: i= 98-<1483 1473  10>,  	 G2 --   1/32nd( 16) <      > 	V 20 - M 33	=-13  %-65  	q= +4  %+20  	 0.110(79)<-----%65   %20

printNotes: i= 99-<1640 1602  38>,  	Ak2 --  1/16th.( 49) <      > 	V 52 - M 33	=+19  %+37  	q= +3  %+6  	 0.296(79)<-----%37   %6

printNotes: i= 100-<1469 1473  -4>,  	 G2 -- 1/32nd..( 29) <      > 	V 29 - M 33	= -4  %-14  	q=  +  %+0  	 0.163(79)<-----%14   %0

printNotes: i= 101-<1666 1602  64>,  	Ak2 --  1/32nd.( 25) <      > 	V 23 - M 33	=-10  %-43  	q= -2  %-9  	 0.128(79)<-----%43   %9

printNotes: i= 102-<1498 1473  25>,  	 G2 --    1/8th( 65) <      > 	V 62 - M 65	= -3  %-5  	q= -3  %-5  	 0.354(79)
printNotes: i= 103-<1734 1743  -9>,  	Bb2 --   1/4th.(196) <      > 	V181 - M261	=-80  %-44  	q=-15  %-8  	 1.045(79)<-----%44   %8

printNotes: i= 104-<1621 1602  19>,  	Ak2 --    1/4th(131) <      > 	V126 - M131	= -5  %-4  	q= -5  %-4  	 0.726(79)
printNotes: i= 105-<1502 1473  29>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 33	=-16  %-94  	q= +1  %+6  	 0.093(79)<-----%94   %6

printNotes: i= 106-<1587 1602 -15>,  	Ak2 --   1/8th.( 98) <      > 	V 88 - M 65	=+23  %+26  	q=-10  %-11  	 0.505(79)<-----%26   %11



silence
printNotes: i= 107-<   0   40 -40>,  	Slc --  1/8th..(114) <      > 	V110 - M131	=-21  %-19  	q= -4  %-4  	 0.633(79)<-----%19   %4

printNotes: i= 108-<1515 1602 -87>,  	Ak2 --  1/32nd.( 25) <      > 	V 23 - M 33	=-10  %-43  	q= -2  %-9  	 0.128(79)<-----%43   %9

printNotes: i= 109-<1452 1473 -21>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 33	=-15  %-83  	q= +2  %+11  	 0.099(79)<-----%83   %11

printNotes: i= 110-<1593 1602  -9>,  	Ak2 -- 1/32nd..( 29) <      > 	V 30 - M 33	= -3  %-10  	q= +1  %+3  	 0.168(79)<-----%10   %3

printNotes: i= 111-<1725 1743 -18>,  	Bb2 --  1/16th.( 49) <      > 	V 41 - M 33	= +8  %+20  	q= -8  %-20  	 0.232(79)
printNotes: i= 112-<1956 1958  -2>,  	 C3 --   1/8th.( 98) <      > 	V 89 - M 98	= -9  %-10  	q= -9  %-10  	 0.511(79)
printNotes: i= 113-<1747 1743   4>,  	Bb2 --    1/4th(131) <      > 	V123 - M131	= -8  %-7  	q= -8  %-7  	 0.708(79)
printNotes: i= 114-<1594 1602  -8>,  	Ak2 --  1/16th.( 49) <      > 	V 48 - M 49	= -1  %-2  	q= -1  %-2  	 0.273(79)
printNotes: i= 115-<1480 1473   7>,  	 G2 --    1/8th( 65) <      > 	V 76 - M 65	=+11  %+14  	q=+11  %+14  	 0.435(79)
printNotes: i= 116-<1931 1958 -27>,  	 C3 --  1/8th..(114) <      > 	V107 - M131	=-24  %-22  	q= -7  %-7  	 0.615(79)<-----%22   %7

