	voice Midi Diff								present		 Best		Sec

printNotes: i= 130-<   0   40 -40>,  	Slc --   1/4th.(216) <-1*sela> 	V181 - M108	=+73  %+40  	q=-35  %-19  	 1.045(72)<-----%40   %19

printNotes: i= 131-<1470 1741 -271>,  	Bb2 --  1/16th.( 54) <      > 	V 49 - M 36	=+13  %+27  	q= -5  %-10  	 0.279(72)<-----%27   %10

printNotes: i= 132-< 797 1611 -814>,  	Ak2 --  1/64th.( 13) <      > 	V 12 - M 36	=-24  %-200  	q= -1  %-8  	 0.064(72)<-----%200   %8 <<

printNotes: i= 133-<1091 1741 -650>,  	Bb2 --  1/16th.( 54) <      > 	V 53 - M 36	=+17  %+32  	q= -1  %-2  	 0.302(72)<-----%32   %2

printNotes: i= 134-<1982 1964  18>,  	 C3 --    1/4th(144) <      > 	V143 - M144	= -1  %-1  	q= -1  %-1  	 0.824(72)
printNotes: i= 135-<1732 1741  -9>,  	Bb2 --  1/16th.( 54) <      > 	V 50 - M 54	= -4  %-8  	q= -4  %-8  	 0.284(72)
printNotes: i= 136-<1612 1611   1>,  	Ak2 --   1/64th(  9) <      > 	V 11 - M 18	= -7  %-64  	q= +2  %+18  	 0.058(72)<-----%64   %18 <<

printNotes: i= 137-<1742 1741   1>,  	Bb2 -- 1/64th..( 16) <      > 	V 16 - M 18	= -2  %-12  	q=  +  %+0  	 0.087(72)
printNotes: i= 138-<1604 1611  -7>,  	Ak2 --  1/32nd.( 27) <      > 	V 24 - M 36	=-12  %-50  	q= -3  %-12  	 0.134(72)<-----%50   %12

printNotes: i= 139-<1484 1477   7>,  	 G2 --   1/32nd( 18) <      > 	V 18 - M 36	=-18  %-100  	q=  +  %+0  	 0.099(72)<-----%100   %0

printNotes: i= 140-<1602 1611  -9>,  	Ak2 --  1/16th.( 54) <      > 	V 53 - M 72	=-19  %-36  	q= -1  %-2  	 0.302(72)<-----%36   %2

printNotes: i= 141-<1507 1477  30>,  	 G2 --   1/8th.(108) <      > 	V109 - M 36	=+73  %+67  	q= +1  %+1  	 0.627(72)<-----%67   %1



silence
printNotes: i= 142-<   0   40 -40>,  	Slc --  1/16th.( 54) <      > 	V 47 - M 72	=-25  %-53  	q= -7  %-15  	 0.267(72)<-----%53   %15

printNotes: i= 143-<1546 1741 -195>,  	Bb2 -- 1/16th..( 63) <      > 	V 60 - M 54	= +6  %+10  	q= -3  %-5  	 0.342(72)<-----%10   %5

printNotes: i= 144-<1869 1964 -95>,  	 C3 --   1/32nd( 18) <      > 	V 18 - M 36	=-18  %-100  	q=  +  %+0  	 0.099(72)<-----%100   %0

printNotes: i= 145-<1490 1741 -251>,  	Bb2 --  1/16th.( 54) <      > 	V 50 - M 54	= -4  %-8  	q= -4  %-8  	 0.284(72)
printNotes: i= 146-<1588 1611 -23>,  	Ak2 -- 1/64th..( 16) <      > 	V 14 - M 36	=-22  %-157  	q= -2  %-14  	 0.075(72)<-----%157   %14 <<

printNotes: i= 147-<1743 1741   2>,  	Bb2 --   1/8th.(108) <      > 	V100 - M 72	=+28  %+28  	q= -8  %-8  	 0.575(72)<-----%28   %8

printNotes: i= 148-<1585 1611 -26>,  	Ak2 --   1/8th.(108) <      > 	V116 - M 72	=+44  %+38  	q= +8  %+7  	 0.668(72)<-----%38   %7

printNotes: i= 149-<1507 1477  30>,  	 G2 -- 1/32nd..( 31) <      > 	V 33 - M 18	=+15  %+45  	q= +2  %+6  	 0.186(72)<-----%45   %6

printNotes: i= 150-<1729 1611 118>,  	Ak2 --  1/32nd.( 27) <      > 	V 23 - M 18	= +5  %+22  	q= -4  %-17  	 0.128(72)<-----%22   %17

printNotes: i= 151-<1507 1477  30>,  	 G2 --  1/32nd.( 27) <      > 	V 23 - M 36	=-13  %-57  	q= -4  %-17  	 0.128(72)<-----%57   %17

printNotes: i= 152-<1484 1477   7>,  	 G2 --    1/8th( 72) <      > 	V 72 - M108	=-36  %-50  	q=  +  %+0  	 0.412(72)<-- same note<-----%50   %0

printNotes: i= 153-<1623 1611  12>,  	Ak2 --   1/32nd( 18) <      > 	V 20 - M 36	=-16  %-80  	q= +2  %+10  	 0.110(72)<-----%80   %10

