	voice Midi Diff								present		 Best		Sec

printNotes: i= 141-< 879 2392 -1513>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(77)<-----%31   %0 <<

printNotes: i= 142-<2182 2182    >,  	 F2 -- 1/64th..( 15) <      > 	V 16 - M 33	=-17  %-106  	q= +1  %+6  	 0.087(77)<-----%106   %6 <<

printNotes: i= 143-<1416 2392 -976>,  	 G2 -- 1/64th..( 15) <      > 	V 15 - M 33	=-18  %-120  	q=  +  %+0  	 0.081(77)<-----%120   %0 <<

printNotes: i= 144-<2200 2182  18>,  	 F2 --    1/4th(134) <      > 	V130 - M100	=+30  %+23  	q= -4  %-3  	 0.749(77)<-----%23   %3

printNotes: i= 145-<2215 2392 -177>,  	 G2 --    1/8th( 67) <      > 	V 72 - M 50	=+22  %+31  	q= +5  %+7  	 0.412(77)<-----%31   %7

printNotes: i= 146-<2191 2182   9>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 33	=-18  %-120  	q=  +  %+0  	 0.081(77)<-----%120   %0 <<

printNotes: i= 147-<2320 2392 -72>,  	 G2 --   1/8th.(100) <      > 	V103 - M 67	=+36  %+35  	q= +3  %+3  	 0.592(77)<-----%35   %3



silence
printNotes: i= 148-<   0   40 -40>,  	Slc --   1/4th.(201) <      > 	V215 - M201	=+14  %+7  	q=+14  %+7  	 1.242(77)
printNotes: i= 149-<2502 2887 -385>,  	 C3 -- 1/16th..( 59) <      > 	V 57 - M 50	= +7  %+12  	q= -2  %-4  	 0.325(77)<-----%12   %4

printNotes: i= 150-<2679 2653  26>,  	Bb2 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(77)
printNotes: i= 151-<2568 2587 -19>,  	 A2 -- 1/32nd..( 29) <      > 	V 30 - M 33	= -3  %-10  	q= +1  %+3  	 0.168(77)<-----%10   %3

printNotes: i= 152-<2418 2392  26>,  	 G2 --   1/32nd( 17) <      > 	V 18 - M 33	=-15  %-83  	q= +1  %+6  	 0.099(77)<-----%83   %6

printNotes: i= 153-<2630 2587  43>,  	 A2 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(77)
printNotes: i= 154-<2684 2653  31>,  	Bb2 --  1/16th.( 50) <      > 	V 47 - M 33	=+14  %+30  	q= -3  %-6  	 0.267(77)<-----%30   %6

printNotes: i= 155-<2587 2587    >,  	 A2 --   1/16th( 33) <      > 	V 39 - M 50	=-11  %-28  	q= +6  %+15  	 0.221(77)<-----%28   %15

printNotes: i= 156-<2395 2392   3>,  	 G2 --  1/32nd.( 25) <      > 	V 26 - M 33	= -7  %-27  	q= +1  %+4  	 0.145(77)<-----%27   %4

