	voice Midi Diff								present		 Best		Sec

i= 139--<2267 2519 -252>,   	 G2 --    1/8th( 55) <      > 	V 66 - M 56	=+10  %+15  	q=+11  %+17  	 0.377(94)
i= 140--<2611 2653 -42>,   	Ak2 --  1/32nd.( 20) <      > 	V 21 - M 21	=  +  %+0  	q= +1  %+5  	 0.116(94)
i= 141--<2535 2519  16>,   	 G2 --  1/8th..( 96) <      > 	V 97 - M 83	=+14  %+14  	q= +1  %+1  	 0.557(94)<-----%14   %1

i= 142--<2989 3019 -30>,   	 C3 --  1/32nd.( 20) <      > 	V 19 - M 21	= -2  %-11  	q= -1  %-5  	 0.104(94)
i= 143--<1293 2797 -1504>,   	Bb2 --   1/8th.( 82) <      > 	V 78 - M 14	=+64  %+82  	q= -4  %-5  	 0.447(94)<-----%82   %5

i= 144--<2804 2797   7>,   	Bb2 --     half(220) <      > 	V221 - M221	=  +  %+0  	q= +1  %+0  	 1.277(94)<-- same note
i= 145--<2655 2653   2>,   	Ak2 --   1/32nd( 13) <      > 	V 16 - M 14	= +2  %+12  	q= +3  %+19  	 0.087(94)
i= 146--<2767 2797 -30>,   	Bb2 --  1/64th.( 10) <      > 	V 11 - M 11	=  +  %+0  	q= +1  %+9  	 0.058(94)
i= 147--<2670 2653  17>,   	Ak2 --  1/16th.( 41) <      > 	V 38 - M 42	= -4  %-11  	q= -3  %-8  	 0.215(94)
i= 148--<2753 2797 -44>,   	Bb2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(94)
i= 149--<2530 2519  11>,   	 G2 --  1/16th.( 41) <      > 	V 35 - M 28	= +7  %+20  	q= -6  %-17  	 0.197(94)
i= 150--<2758 2797 -39>,   	Bb2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(94)
i= 151--<2520 2519   1>,   	 G2 --   1/8th.( 82) <      > 	V 74 - M 56	=+18  %+24  	q= -8  %-11  	 0.424(94)<-----%24   %11

i= 152--<2663 2653  10>,   	Ak2 --   1/8th.( 82) <      > 	V 77 - M 83	= -6  %-8  	q= -5  %-6  	 0.441(94)
i= 153--<2129 2519 -390>,   	 G2 --  1/8th..( 96) <      > 	V 92 - M 83	= +9  %+10  	q= -4  %-4  	 0.528(94)<-----%10   %4



silence
i= 154--<   0   40 -40>,   	Slc --   1/8th.( 82) <      > 	V 79 - M 88	= -9  %-11  	q= -3  %-4  	 0.453(94)<-----%11   %4

i= 155--<1693 1327 366>,   	 G1 --  1/32nd.( 20) <      > 	V 21 - M 21	=  +  %+0  	q= +1  %+5  	 0.116(94)
i= 156--<2696 2797 -101>,   	Bb2 --    1/8th( 55) <      > 	V 57 - M 49	= +8  %+14  	q= +2  %+4  	 0.325(94)<-----%14   %4

i= 157--<2651 2653  -2>,   	Ak2 --  1/32nd.( 20) <      > 	V 17 - M 14	= +3  %+18  	q= -3  %-18  	 0.093(94)
i= 158--<2776 2797 -21>,   	Bb2 --   1/32nd( 13) <      > 	V 15 - M 14	= +1  %+7  	q= +2  %+13  	 0.081(94)
i= 159--<2525 2519   6>,   	 G2 --    1/4th(110) <      > 	V122 - M111	=+11  %+9  	q=+12  %+10  	 0.702(94)
i= 160--<2788 2797  -9>,   	Bb2 --    1/8th( 55) <      > 	V 56 - M 49	= +7  %+12  	q= +1  %+2  	 0.319(94)<-----%12   %2

i= 161--<2653 2653    >,   	Ak2 --   1/16th( 27) <      > 	V 26 - M 25	= +1  %+4  	q= -1  %-4  	 0.145(94)
i= 162--<2507 2519 -12>,   	 G2 --  1/32nd.( 20) <      > 	V 17 - M 14	= +3  %+18  	q= -3  %-18  	 0.093(94)
i= 163--<2659 2653   6>,   	Ak2 -- 1/32nd..( 24) <      > 	V 24 - M 25	= -1  %-4  	q=  +  %+0  	 0.134(94)
i= 164--<2781 2797 -16>,   	Bb2 --    128th(  3) <      > 	V  4 - M  4	=  +  %+0  	q= +1  %+25  	 0.017(94)
i= 165--<2669 2653  16>,   	Ak2 --  1/32nd.( 20) <      > 	V 19 - M 21	= -2  %-11  	q= -1  %-5  	 0.104(94)
i= 166--<2805 2797   8>,   	Bb2 -- 1/32nd..( 24) <      > 	V 25 - M 25	=  +  %+0  	q= +1  %+4  	 0.139(94)
i= 167--<2870 3019 -149>,   	 C3 --    128th(  3) <      > 	V  3 - M  4	= -1  %-33  	q=  +  %+0  	 0.012(94)
i= 168--<2648 2797 -149>,   	Bb2 --  1/32nd.( 20) <      > 	V 19 - M 21	= -2  %-11  	q= -1  %-5  	 0.104(94)
i= 169--<3013 3019  -6>,   	 C3 --  1/16th.( 41) <      > 	V 42 - M 42	=  +  %+0  	q= +1  %+2  	 0.238(94)
i= 170--<2677 2653  24>,   	Ak2 --   1/32nd( 13) <      > 	V 16 - M 14	= +2  %+12  	q= +3  %+19  	 0.087(94)
i= 171--<2809 2797  12>,   	Bb2 --     half(220) <      > 	V225 - M193	=+32  %+14  	q= +5  %+2  	 1.300(94)<-----%14   %2

i= 172--<2517 2519  -2>,   	 G2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(94)
i= 173--<2670 2653  17>,   	Ak2 -- 1/16th..( 48) <      > 	V 50 - M 49	= +1  %+2  	q= +2  %+4  	 0.284(94)
i= 174--<2392 2519 -127>,   	 G2 --    1/8th( 55) <      > 	V 59 - M 56	= +3  %+5  	q= +4  %+7  	 0.337(94)
i= 175--<2350 2797 -447>,   	Bb2 -- 1/32nd..( 24) <      > 	V 25 - M 25	=  +  %+0  	q= +1  %+4  	 0.139(94)
i= 176--<2887 3019 -132>,   	 C3 --  1/64th.( 10) <      > 	V 11 - M 11	=  +  %+0  	q= +1  %+9  	 0.058(94)
i= 177--<2595 2653 -58>,   	Ak2 --  1/16th.( 41) <      > 	V 37 - M 28	= +9  %+24  	q= -4  %-11  	 0.209(94)<-----%24   %11

i= 178--<2880 3019 -139>,   	 C3 --  1/64th.( 10) <      > 	V 11 - M 11	=  +  %+0  	q= +1  %+9  	 0.058(94)
i= 179--<2666 2653  13>,   	Ak2 -- 1/16th..( 48) <      > 	V 48 - M 42	= +6  %+12  	q=  +  %+0  	 0.273(94)<-----%12   %0

i= 180--<2779 2797 -18>,   	Bb2 --   1/32nd( 13) <      > 	V 14 - M 14	=  +  %+0  	q= +1  %+7  	 0.075(94)
i= 181--<2508 2519 -11>,   	 G2 --  1/16th.( 41) <      > 	V 38 - M 28	=+10  %+26  	q= -3  %-8  	 0.215(94)<-----%26   %8

i= 182--<2720 2797 -77>,   	Bb2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(94)
i= 183--<2533 2519  14>,   	 G2 --   1/8th.( 82) <      > 	V 74 - M 56	=+18  %+24  	q= -8  %-11  	 0.424(94)<-----%24   %11

