	voice Midi Diff								present		 Best		Sec

printNotes: i= 140-<2376 2378  -2>,  	 G2 --    half.(381) <      > 	V381 - M381	=  +  %+0  	q=  +  %+0  	 2.206(81)<-- same note
printNotes: i= 141-<2143 2159 -16>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 142-<2326 2378 -52>,  	 G2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(81)<-----%129   %0 <<

printNotes: i= 143-<2161 2159   2>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(81)<-----%14   %0

printNotes: i= 144-<2013 2008   5>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-----%88   %6

printNotes: i= 145-<2173 2159  14>,  	 F2 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i= 146-<2371 2378  -7>,  	 G2 -- 1/32nd..( 28) <      > 	V 26 - M 16	=+10  %+38  	q= -2  %-8  	 0.145(81)<-----%38   %8

printNotes: i= 147-<2611 2574  37>,  	 A2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 148-<2387 2378   9>,  	 G2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 149-<2460 2574 -114>,  	 A2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(81)<-----%60   %20 <<

printNotes: i= 150-<2157 2159  -2>,  	 F2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)
printNotes: i= 151-<2317 2378 -61>,  	 G2 --  1/64th.( 12) <      > 	V  9 - M 32	=-23  %-256  	q= -3  %-33  	 0.046(81)<-----%256   %33 <<

printNotes: i= 152-<1997 2008 -11>,  	Ek2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)
printNotes: i= 153-<2161 2159   2>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(81)<-----%191   %9 <<

printNotes: i= 154-<1873 1867   6>,  	 D2 --   1/4th.(190) <      > 	V189 - M190	= -1  %-1  	q= -1  %-1  	 1.091(81)
printNotes: i= 155-<1999 2008  -9>,  	Ek2 -- 1/32nd..( 28) <      > 	V 28 - M 16	=+12  %+43  	q=  +  %+0  	 0.157(81)<-----%43   %0

printNotes: i= 156-<2139 2159 -20>,  	 F2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(81)<-----%60   %20 <<

printNotes: i= 157-<1871 1867   4>,  	 D2 --    1/8th( 63) <      > 	V 65 - M 63	= +2  %+3  	q= +2  %+3  	 0.372(81)
printNotes: i= 158-<1989 2008 -19>,  	Ek2 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(81)<-----%45   %3

printNotes: i= 159-<2118 2159 -41>,  	 F2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(81)<-----%60   %20 <<

printNotes: i= 160-<1880 1867  13>,  	 D2 --   1/8th.( 95) <      > 	V 85 - M 32	=+53  %+62  	q=-10  %-12  	 0.488(81)<-----%62   %12



silence
printNotes: i= 161-<   0   40 -40>,  	Slc --  1/8th..(111) <      > 	V103 - M127	=-24  %-23  	q= -8  %-8  	 0.592(81)<-----%23   %8

printNotes: i= 162-<1855 1867 -12>,  	 D2 --    1/8th( 63) <      > 	V 67 - M 63	= +4  %+6  	q= +4  %+6  	 0.383(81)
printNotes: i= 163-<1984 2008 -24>,  	Ek2 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(81)<-----%45   %3

