	voice Midi Diff								present		 Best		Sec

printNotes: i= 157-<   0   40 -40>,  	Slc -- 1/16th..( 53) <      > 	V 55 - M 61	= -6  %-11  	q= +2  %+4  	 0.313(85)<-----%11   %4

printNotes: i= 158-<1806 1947 -141>,  	Ak2 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(85)<-----%25   %4

printNotes: i= 159-<1825 1810  15>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(85)<-----%76   %12

printNotes: i= 160-<1934 1947 -13>,  	Ak2 --  1/32nd.( 23) <      > 	V 20 - M 15	= +5  %+25  	q= -3  %-15  	 0.110(85)<-----%25   %15

printNotes: i= 161-<1995 2101 -106>,  	Bb2 --    128th(  4) <      > 	V  5 - M 15	=-10  %-200  	q= +1  %+20  	 0.023(85)<-----%200   %20 <<

printNotes: i= 162-<1948 1947   1>,  	Ak2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)
