	voice Midi Diff								present		 Best		Sec

printNotes: i= 117-<2103 2108  -5>,  	Bb2 --  1/16th.( 47) <      > 	V 47 - M 83	=-36  %-77  	q=  +  %+0  	 0.267(83)<-----%77   %0

printNotes: i= 118-<2319 2331 -12>,  	 C3 --    1/8th( 63) <      > 	V 65 - M 63	= +2  %+3  	q= +2  %+3  	 0.372(83)
printNotes: i= 119-<2499 2536 -37>,  	 D3 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(83)<-----%138   %8 <<

printNotes: i= 120-<2322 2331  -9>,  	 C3 -- 1/16th..( 55) <      > 	V 55 - M 31	=+24  %+44  	q=  +  %+0  	 0.313(83)<-----%44   %0

printNotes: i= 121-<2105 2108  -3>,  	Bb2 --  1/16th.( 47) <      > 	V 47 - M 31	=+16  %+34  	q=  +  %+0  	 0.267(83)<-----%34   %0

printNotes: i= 122-<2167 2331 -164>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 123-<1965 1964   1>,  	Ak2 --  1/16th.( 47) <      > 	V 40 - M 31	= +9  %+22  	q= -7  %-18  	 0.226(83)<-----%22   %18

printNotes: i= 124-<2061 2108 -47>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(83)<-----%158   %0 <<

printNotes: i= 125-<1845 1829  16>,  	 G2 --  1/16th.( 47) <      > 	V 43 - M 63	=-20  %-47  	q= -4  %-9  	 0.244(83)<-----%47   %9

printNotes: i= 126-<1973 1964   9>,  	Ak2 --   1/4th.(188) <      > 	V190 - M188	= +2  %+1  	q= +2  %+1  	 1.097(83)


silence
printNotes: i= 127-<   0   40 -40>,  	Slc --   1/8th.( 94) <      > 	V 90 - M125	=-35  %-39  	q= -4  %-4  	 0.517(83)<-----%39   %4

printNotes: i= 128-<1610 1616  -6>,  	 F2 --   1/16th( 31) <      > 	V 38 - M 42	= -4  %-11  	q= +7  %+18  	 0.215(83)
printNotes: i= 129-<1947 1964 -17>,  	Ak2 --    1/8th( 63) <      > 	V 77 - M 83	= -6  %-8  	q=+14  %+18  	 0.441(83)
printNotes: i= 130-<1966 1964   2>,  	Ak2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(83)<-- same note<-----%45   %9 <<

printNotes: i= 131-<2044 2108 -64>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(83)<-----%78   %33 <<

printNotes: i= 132-<1967 1964   3>,  	Ak2 --  1/16th.( 47) <      > 	V 49 - M 16	=+33  %+67  	q= +2  %+4  	 0.279(83)<-----%67   %4

printNotes: i= 133-<2040 2108 -68>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(83)<-----%78   %33 <<

printNotes: i= 134-<1973 1964   9>,  	Ak2 --  1/16th.( 47) <      > 	V 50 - M 63	=-13  %-26  	q= +3  %+6  	 0.284(83)<-----%26   %6

printNotes: i= 135-<2156 2108  48>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 136-<1975 1964  11>,  	Ak2 --    1/8th( 63) <      > 	V 69 - M 31	=+38  %+55  	q= +6  %+9  	 0.395(83)<-----%55   %9

