	voice Midi Diff								present		 Best		Sec

printNotes: i= 125-<   0   40 -40>,  	Slc --  1/16th.( 46) <      > 	V 40 - M 62	=-22  %-55  	q= -6  %-15  	 0.226(84)<-----%55   %15

printNotes: i= 126-<2758 2799 -41>,  	 A2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(84)<-----%24   %8

printNotes: i= 127-<2865 2860   5>,  	Bb2 --  1/16th.( 46) <      > 	V 44 - M 31	=+13  %+30  	q= -2  %-5  	 0.250(84)<-----%30   %5

printNotes: i= 128-<2269 2799 -530>,  	 A2 --    1/4th(124) <      > 	V128 - M124	= +4  %+3  	q= +4  %+3  	 0.737(84)
printNotes: i= 129-<1306 3055 -1749>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 15	= -1  %-7  	q=  +  %+0  	 0.075(84)
printNotes: i= 130-<2645 2799 -154>,  	 A2 --   1/8th.( 93) <      > 	V 81 - M124	=-43  %-53  	q=-12  %-15  	 0.464(84)<-----%53   %15



silence
printNotes: i= 131-<   0   40 -40>,  	Slc --  1/32nd.( 23) <      > 	V 20 - M 62	=-42  %-210  	q= -3  %-15  	 0.110(84)<-----%210   %15

printNotes: i= 132-<1999 2062 -63>,  	 D2 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(84)
printNotes: i= 133-<2822 2860 -38>,  	Bb2 -- 1/16th..( 54) <      > 	V 57 - M 62	= -5  %-9  	q= +3  %+5  	 0.325(84)<-----%9   %5

printNotes: i= 134-<2790 2799  -9>,  	 A2 --    1/4th(124) <1*sela> 	V144 - M124	=+20  %+14  	q=+20  %+14  	 0.830(84)
printNotes: i= 135-<2883 2860  23>,  	Bb2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 136-<3067 3055  12>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 15	= -4  %-36  	q= -1  %-9  	 0.058(84)<-----%36   %9 <<

printNotes: i= 137-<2889 2860  29>,  	Bb2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(84)<-----%24   %8

printNotes: i= 138-<2767 2799 -32>,  	 A2 --  1/32nd.( 23) <      > 	V 19 - M 31	=-12  %-63  	q= -4  %-21  	 0.104(84)<-----%63   %21

printNotes: i= 139-<2586 2586    >,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 31	=-13  %-72  	q= +3  %+17  	 0.099(84)<-----%72   %17

printNotes: i= 140-<2806 2799   7>,  	 A2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i= 141-<2916 2860  56>,  	Bb2 --   1/64th(  8) <      > 	V 10 - M 15	= -5  %-50  	q= +2  %+20  	 0.052(84)<-----%50   %20 <<

printNotes: i= 142-<2790 2799  -9>,  	 A2 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(84)<-----%11   %4

printNotes: i= 143-<2599 2586  13>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(84)<-----%15   %0

printNotes: i= 144-<2456 2462  -6>,  	F#2 --   1/32nd( 15) <      > 	V 16 - M 31	=-15  %-94  	q= +1  %+6  	 0.087(84)<-----%94   %6 <<

printNotes: i= 145-<2600 2586  14>,  	 G2 --  1/16th.( 46) <      > 	V 43 - M 31	=+12  %+28  	q= -3  %-7  	 0.244(84)<-----%28   %7

printNotes: i= 146-<2733 2799 -66>,  	 A2 --  128th..(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(84)<-----%114   %0 <<

