	voice Midi Diff								present		 Best		Sec

printNotes: i= 141-<2183 2499 -316>,  	Bb2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(85)
printNotes: i= 142-<2381 2393 -12>,  	 A2 --    1/4th(121) <1*sela> 	V140 - M121	=+19  %+14  	q=+19  %+14  	 0.807(85)
printNotes: i= 143-<2506 2499   7>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(85)<-----%36   %0 <<

printNotes: i= 144-<2386 2393  -7>,  	 A2 --    1/8th( 61) <      > 	V 58 - M 46	=+12  %+21  	q= -3  %-5  	 0.331(85)<-----%21   %5

printNotes: i= 145-<2479 2499 -20>,  	Bb2 --  1/32nd.( 23) <      > 	V 19 - M 30	=-11  %-58  	q= -4  %-21  	 0.104(85)<-----%58   %21

printNotes: i= 146-<2381 2393 -12>,  	 A2 --   1/16th( 30) <      > 	V 34 - M 46	=-12  %-35  	q= +4  %+12  	 0.192(85)<-----%35   %12

printNotes: i= 147-<2001 2499 -498>,  	Bb2 --    128th(  4) <      > 	V  5 - M 30	=-25  %-500  	q= +1  %+20  	 0.023(85)<-----%500   %20 <<

printNotes: i= 148-< 654 2670 -2016>,  	 C3 --   1/64th(  8) <      > 	V  8 - M 30	=-22  %-275  	q=  +  %+0  	 0.041(85)<-----%275   %0 <<

printNotes: i= 149-<2456 2499 -43>,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(85)<-----%76   %12

printNotes: i= 150-<2474 2670 -196>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(85)<-----%50   %10 <<



silence
printNotes: i= 151-<   0   40 -40>,  	Slc --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(85)
printNotes: i= 152-<2431 2499 -68>,  	Bb2 --  1/16th.( 46) <      > 	V 41 - M 30	=+11  %+27  	q= -5  %-12  	 0.232(85)<-----%27   %12

printNotes: i= 153-<2382 2393 -11>,  	 A2 --    1/8th( 61) <      > 	V 64 - M 30	=+34  %+53  	q= +3  %+5  	 0.366(85)<-----%53   %5

printNotes: i= 154-<2216 2213   3>,  	 G2 --  1/16th.( 46) <      > 	V 43 - M 61	=-18  %-42  	q= -3  %-7  	 0.244(85)<-----%42   %7

printNotes: i= 155-<2474 2499 -25>,  	Bb2 --  1/64th.( 11) <      > 	V 10 - M 30	=-20  %-200  	q= -1  %-10  	 0.052(85)<-----%200   %10 <<

