	voice Midi Diff								present		 Best		Sec

printNotes: i= 154-<2105   40 2065>,  	Slc --    128th(  4) <      > 	V  2 - M  7	= -5  %-250  	q= -2  %-100  	 0.006(87)<-----%250   %100 <<

printNotes: i= 155-<1733 2203 -470>,  	 G2 --    1/4th(118) <      > 	V124 - M 89	=+35  %+28  	q= +6  %+5  	 0.714(87)<-----%28   %5

printNotes: i= 156-<2209 2203   6>,  	 G2 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(87)<-- same note
printNotes: i= 157-<2043 1985  58>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(87)<-----%114   %7 <<

printNotes: i= 158-<2217 2203  14>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 15	=+15  %+50  	q=  +  %+0  	 0.168(87)<-----%50   %0

printNotes: i= 159-<2385 2400 -15>,  	 A2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(87)<-----%36   %0 <<

printNotes: i= 160-<2232 2203  29>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 161-<2336 2400 -64>,  	 A2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(87)<-----%88   %38 <<

printNotes: i= 162-<2202 2203  -1>,  	 G2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(87)<-----%11   %4

