	voice Midi Diff								present		 Best		Sec

printNotes: i= 143-<2149 2242 -93>,  	 G2 --  1/4th..(220) <      > 	V226 - M220	= +6  %+3  	q= +6  %+3  	 1.306(82)
printNotes: i= 144-<1237 2032 -795>,  	 F2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(82)
printNotes: i= 145-<1181 2242 -1061>,  	 G2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(82)
printNotes: i= 146-<2094 2032  62>,  	 F2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(82)
printNotes: i= 147-<1923 2242 -319>,  	 G2 --  1/8th..(110) <      > 	V110 - M110	=  +  %+0  	q=  +  %+0  	 0.633(82)
printNotes: i= 148-<2255 2242  13>,  	 G2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(82)<-- same note
printNotes: i= 149-<2448 2542 -94>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 14	= +2  %+12  	q=  +  %+0  	 0.087(82)


silence
printNotes: i= 150-<2277   40 2237>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(82)
printNotes: i= 151-<1928 2242 -314>,  	 G2 --  1/4th..(220) <      > 	V217 - M220	= -3  %-1  	q= -3  %-1  	 1.254(82)
printNotes: i= 152-<2243 2242   1>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)<-- same note
printNotes: i= 153-<2242 2242    >,  	 G2 --    1/8th( 63) <      > 	V 63 - M 63	=  +  %+0  	q=  +  %+0  	 0.360(82)<-- same note


silence
printNotes: i= 154-<   0   40 -40>,  	Slc -- 1/32nd..( 27) <      > 	V 27 - M132	=-105  %-389  	q=  +  %+0  	 0.151(82)<-----%389   %0

printNotes: i= 155-<1538 1933 -395>,  	 E2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(82)
printNotes: i= 156-<2015 2032 -17>,  	 F2 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(82)
printNotes: i= 157-<1956 1933  23>,  	 E2 --  1/16th.( 47) <      > 	V 46 - M 47	= -1  %-2  	q= -1  %-2  	 0.261(82)
printNotes: i= 158-<2245 2242   3>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(82)
printNotes: i= 159-< 330 2032 -1702>,  	 F2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(82)
printNotes: i= 160-<1971 2242 -271>,  	 G2 --   1/8th.( 94) <      > 	V 92 - M 94	= -2  %-2  	q= -2  %-2  	 0.528(82)
printNotes: i= 161-<2149 2742 -593>,  	 C3 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(82)
printNotes: i= 162-<1136 2242 -1106>,  	 G2 --    1/8th( 63) <      > 	V 63 - M 63	=  +  %+0  	q=  +  %+0  	 0.360(82)


silence
printNotes: i= 163-<   0   40 -40>,  	Slc --  1/16th.( 47) <      > 	V 46 - M 63	=-17  %-37  	q= -1  %-2  	 0.261(82)<-----%37   %2

printNotes: i= 164-<1531 1238 293>,  	 A1 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(82)
printNotes: i= 165-<2217 2242 -25>,  	 G2 --  1/4th..(220) <      > 	V220 - M220	=  +  %+0  	q=  +  %+0  	 1.271(82)
printNotes: i= 166-<2106 2032  74>,  	 F2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(82)
printNotes: i= 167-<2245 2242   3>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(82)
printNotes: i= 168-<2056 2032  24>,  	 F2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(82)
printNotes: i= 169-<2116 2142 -26>,  	F#2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(82)
printNotes: i= 170-<1951 1933  18>,  	 E2 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(82)
printNotes: i= 171-<2205 2242 -37>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(82)
printNotes: i= 172-<1933 1933    >,  	 E2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(82)
printNotes: i= 173-<2237 2242  -5>,  	 G2 --  1/4th..(220) <      > 	V227 - M220	= +7  %+3  	q= +7  %+3  	 1.312(82)
printNotes: i= 174-<2033 2032   1>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(82)
printNotes: i= 175-<2211 2242 -31>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(82)
