	voice Midi Diff								present		 Best		Sec

printNotes: i= 142-<1366 2358 -992>,  	Bb2 --  1/16th.( 45) <      > 	V 45 - M 45	=  +  %+0  	q=  +  %+0  	 0.255(87)
printNotes: i= 143-<2337 2358 -21>,  	Bb2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(87)<-- same note<-----%15   %0

printNotes: i= 144-<2186 2192  -6>,  	Ak2 --     half(237) <      > 	V226 - M 89	=+137  %+61  	q=-11  %-5  	 1.306(87)<-----%61   %5

printNotes: i= 145-<2071 2078  -7>,  	 G2 --  1/32nd.( 22) <      > 	V 19 - M 30	=-11  %-58  	q= -3  %-16  	 0.104(87)<-----%58   %16

printNotes: i= 146-< 408 2192 -1784>,  	Ak2 --   1/16th( 30) <      > 	V 32 - M 59	=-27  %-84  	q= +2  %+6  	 0.180(87)<-----%84   %6

printNotes: i= 147-<2113 2358 -245>,  	Bb2 --  1/8th..(104) <      > 	V101 - M 89	=+12  %+12  	q= -3  %-3  	 0.580(87)<-----%12   %3

printNotes: i= 148-<1456 2192 -736>,  	Ak2 --    1/8th( 59) <      > 	V 65 - M 30	=+35  %+54  	q= +6  %+9  	 0.372(87)<-----%54   %9

printNotes: i= 149-<1747 2358 -611>,  	Bb2 --  1/16th.( 45) <      > 	V 43 - M 59	=-16  %-37  	q= -2  %-5  	 0.244(87)<-----%37   %5

printNotes: i= 150-<2149 2192 -43>,  	Ak2 --    1/4th(119) <      > 	V112 - M 89	=+23  %+21  	q= -7  %-6  	 0.644(87)<-----%21   %6

printNotes: i= 151-<2087 2078   9>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(87)


silence
printNotes: i= 152-<   0   40 -40>,  	Slc --    1/4th(119) <      > 	V129 - M119	=+10  %+8  	q=+10  %+8  	 0.743(87)
printNotes: i= 153-<2140 2192 -52>,  	Ak2 --   1/8th.( 89) <      > 	V 79 - M 59	=+20  %+25  	q=-10  %-13  	 0.453(87)<-----%25   %13

printNotes: i= 154-< 952 2078 -1126>,  	 G2 --    1/8th( 59) <      > 	V 66 - M 30	=+36  %+55  	q= +7  %+11  	 0.377(87)<-----%55   %11

printNotes: i= 155-<2409 2398  11>,  	Bk2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(87)
printNotes: i= 156-<2358 2398 -40>,  	Bk2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
printNotes: i= 157-<2565 2560   5>,  	 C3 --  1/4th..(208) <      > 	V209 - M237	=-28  %-13  	q= +1  %+0  	 1.207(87)<-----%13   %0

printNotes: i= 158-<2389 2398  -9>,  	Bk2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 159-<2519 2560 -41>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(87)<-----%50   %10 <<

printNotes: i= 160-<2403 2398   5>,  	Bk2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(87)<-----%88   %6 <<

printNotes: i= 161-<2432 2560 -128>,  	 C3 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(87)
printNotes: i= 162-<2328 2398 -70>,  	Bk2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
