	voice Midi Diff								present		 Best		Sec

printNotes: i= 120-<2212 2228 -16>,  	Ak2 --   1/4th.(174) <      > 	V177 - M203	=-26  %-15  	q= +3  %+2  	 1.022(89)<-----%15   %2

printNotes: i= 121-<2109 2103   6>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(89)<-----%93   %0 <<

printNotes: i= 122-<2207 2228 -21>,  	Ak2 --  1/32nd.( 22) <      > 	V 22 - M 15	= +7  %+32  	q=  +  %+0  	 0.122(89)<-----%32   %0

printNotes: i= 123-<2407 2385  22>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(89)<-----%36   %0 <<

printNotes: i= 124-<2221 2228  -7>,  	Ak2 --   1/16th( 29) <      > 	V 27 - M 15	=+12  %+44  	q= -2  %-7  	 0.151(89)<-----%44   %7

printNotes: i= 125-<2372 2385 -13>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(89)<-----%15   %0 <<

printNotes: i= 126-<2215 2228 -13>,  	Ak2 -- 1/32nd..( 25) <      > 	V 24 - M 29	= -5  %-21  	q= -1  %-4  	 0.134(89)<-----%21   %4

printNotes: i= 127-<2107 2103   4>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(89)<-----%93   %0 <<

printNotes: i= 128-<2226 2228  -2>,  	Ak2 --    1/4th(116) <      > 	V124 - M116	= +8  %+6  	q= +8  %+6  	 0.714(89)
printNotes: i= 129-<2103 2103    >,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(89)<-----%93   %0 <<

printNotes: i= 130-<2223 2228  -5>,  	Ak2 -- 1/32nd..( 25) <      > 	V 25 - M 29	= -4  %-16  	q=  +  %+0  	 0.139(89)<-----%16   %0

printNotes: i= 131-<2289 2385 -96>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(89)
printNotes: i= 132-<2221 2228  -7>,  	Ak2 -- 1/32nd..( 25) <      > 	V 24 - M 29	= -5  %-21  	q= -1  %-4  	 0.134(89)<-----%21   %4

printNotes: i= 133-<2144 2103  41>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 29	=-17  %-142  	q= +1  %+8  	 0.064(89)<-----%142   %8 <<

printNotes: i= 134-<2223 2228  -5>,  	Ak2 -- 1/32nd..( 25) <      > 	V 25 - M 29	= -4  %-16  	q=  +  %+0  	 0.139(89)<-----%16   %0

