	voice Midi Diff								present		 Best		Sec

printNotes: i= 145-<2620 2571  49>,  	 C3 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 146-<2428 2425   3>,  	Bk2 --   1/16th( 32) <      > 	V 39 - M 16	=+23  %+59  	q= +7  %+18  	 0.221(81)<-----%59   %18

printNotes: i= 147-<2298 2315 -17>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 148-<2432 2571 -139>,  	 C3 --    1/4th(128) <      > 	V121 - M128	= -7  %-6  	q= -7  %-6  	 0.697(81)
printNotes: i= 149-<2178 2425 -247>,  	Bk2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(81)
printNotes: i= 150-<2312 2315  -3>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(81)<-----%100   %0 <<

printNotes: i= 151-<2439 2425  14>,  	Bk2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(81)
printNotes: i= 152-<2503 2571 -68>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 153-<2436 2425  11>,  	Bk2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(81)<-----%19   %4

printNotes: i= 154-<2333 2315  18>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 155-<2433 2425   8>,  	Bk2 --   1/16th( 32) <      > 	V 33 - M 16	=+17  %+52  	q= +1  %+3  	 0.186(81)<-----%52   %3

printNotes: i= 156-<2567 2571  -4>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 157-<2341 2315  26>,  	 A2 --   1/16th( 32) <      > 	V 32 - M 16	=+16  %+50  	q=  +  %+0  	 0.180(81)<-----%50   %0

printNotes: i= 158-<2000 2425 -425>,  	Bk2 --  1/32nd.( 24) <      > 	V 25 - M 16	= +9  %+36  	q= +1  %+4  	 0.139(81)<-----%36   %4

printNotes: i= 159-<2326 2315  11>,  	 A2 -- 1/16th..( 56) <      > 	V 56 - M 48	= +8  %+14  	q=  +  %+0  	 0.319(81)<-----%14   %0

printNotes: i= 160-<2565 2571  -6>,  	 C3 --   1/8th.( 96) <      > 	V 81 - M 64	=+17  %+21  	q=-15  %-19  	 0.464(81)
printNotes: i= 161-<2419 2425  -6>,  	Bk2 --    1/4th(128) <      > 	V135 - M 96	=+39  %+29  	q= +7  %+5  	 0.778(81)<-----%29   %5

