	voice Midi Diff								present		 Best		Sec

printNotes: i= 161-<2135 2081  54>,  	 D2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(98)
printNotes: i= 162-<2372 2364   8>,  	 F2 --  1/16th.( 40) <      > 	V 41 - M 40	= +1  %+2  	q= +1  %+2  	 0.232(98)
printNotes: i= 163-<2587 2572  15>,  	 G2 --   1/16th( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(98)
printNotes: i= 164-<2887 2866  21>,  	Bb2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(98)
printNotes: i= 165-<2755 2766 -11>,  	 A2 -- 1/32nd..( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(98)
printNotes: i= 166-<2570 2572  -2>,  	 G2 --   1/32nd( 13) <      > 	V 16 - M 13	= +3  %+19  	q= +3  %+19  	 0.087(98)
printNotes: i= 167-<2748 2766 -18>,  	 A2 --   1/16th( 26) <      > 	V 25 - M 23	= +2  %+8  	q= -1  %-4  	 0.139(98)
printNotes: i= 168-<2995 3066 -71>,  	 C3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(98)
printNotes: i= 169-<2755 2766 -11>,  	 A2 --  1/16th.( 40) <      > 	V 41 - M 40	= +1  %+2  	q= +1  %+2  	 0.232(98)
printNotes: i= 170-<2825 2866 -41>,  	Bb2 --  1/32nd.( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(98)
printNotes: i= 171-<2764 2766  -2>,  	 A2 --  1/16th.( 40) <      > 	V 40 - M 40	=  +  %+0  	q=  +  %+0  	 0.226(98)
printNotes: i= 172-<2822 2866 -44>,  	Bb2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(98)
printNotes: i= 173-<2758 2766  -8>,  	 A2 --   1/16th( 26) <      > 	V 30 - M 26	= +4  %+13  	q= +4  %+13  	 0.168(98)
printNotes: i= 174-<2838 2866 -28>,  	Bb2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(98)
printNotes: i= 175-<2758 2766  -8>,  	 A2 --  1/16th.( 40) <      > 	V 39 - M 40	= -1  %-3  	q= -1  %-3  	 0.221(98)
printNotes: i= 176-<2564 2572  -8>,  	 G2 --    1/8th( 53) <      > 	V 51 - M 53	= -2  %-4  	q= -2  %-4  	 0.290(98)
