	voice Midi Diff								present		 Best		Sec

printNotes: i= 143-<2744 2800 -56>,  	 A2 --  1/32nd.( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(74)
printNotes: i= 144-<2606 2586  20>,  	 G2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(74)
printNotes: i= 145-<2868 2880 -12>,  	Bb2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(74)
printNotes: i= 146-<2593 2586   7>,  	 G2 --   1/8th.(105) <      > 	V101 - M105	= -4  %-4  	q= -4  %-4  	 0.580(74)
printNotes: i= 147-<2479 2478   1>,  	F#2 -- 1/32nd..( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(74)
printNotes: i= 148-<2234 2217  17>,  	Ek2 --   1/16th( 35) <      > 	V 34 - M 35	= -1  %-3  	q= -1  %-3  	 0.192(74)
printNotes: i= 149-<2468 2478 -10>,  	F#2 -- 1/32nd..( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(74)
printNotes: i= 150-<1978 2217 -239>,  	Ek2 --    1/8th( 70) <      > 	V 73 - M 70	= +3  %+4  	q= +3  %+4  	 0.418(74)
printNotes: i= 151-<2110 2091  19>,  	 D2 --  1/16th.( 52) <      > 	V 47 - M 52	= -5  %-11  	q= -5  %-11  	 0.267(74)
printNotes: i= 152-<2597 2586  11>,  	 G2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(74)


silence
printNotes: i= 153-<   0   40 -40>,  	Slc --   1/8th.(105) <      > 	V113 - M140	=-27  %-24  	q= +8  %+7  	 0.650(74)<-----%24   %7

printNotes: i= 154-<1256 1593 -337>,  	 A1 --   1/16th( 35) <      > 	V 39 - M 35	= +4  %+10  	q= +4  %+10  	 0.221(74)
printNotes: i= 155-<2154 2217 -63>,  	Ek2 --  1/16th.( 52) <      > 	V 49 - M 52	= -3  %-6  	q= -3  %-6  	 0.279(74)
printNotes: i= 156-<2117 2091  26>,  	 D2 --  1/16th.( 52) <      > 	V 45 - M 52	= -7  %-16  	q= -7  %-16  	 0.255(74)
printNotes: i= 157-<2449 2478 -29>,  	F#2 -- 1/32nd..( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(74)
printNotes: i= 158-<2227 2217  10>,  	Ek2 --  1/32nd.( 26) <      > 	V 22 - M 26	= -4  %-18  	q= -4  %-18  	 0.122(74)
printNotes: i= 159-<2505 2586 -81>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(74)
