	voice Midi Diff								present		 Best		Sec

printNotes: i= 123-<2482 2484  -2>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 124-<2430 2419  11>,  	 A2 -- 1/32nd..( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(89)
printNotes: i= 125-<2202 2184  18>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 126-<2288 2419 -131>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(89)
printNotes: i= 127-<2206 2184  22>,  	 G2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(89)
printNotes: i= 128-<2087 2077  10>,  	F#2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(89)
printNotes: i= 129-<1599 2184 -585>,  	 G2 -- 1/16th..( 51) <      > 	V 54 - M 51	= +3  %+6  	q= +3  %+6  	 0.308(89)
printNotes: i= 130-<   0 2184 -2184>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)<-- same note


silence
printNotes: i= 131-<   0   40 -40>,  	Slc --    128th(  4) <      > 	V  2 - M 44	=-42  %-2100  	q= -2  %-100  	 0.006(89)<-----%2100   %100 <<

printNotes: i= 132-<2182 2184  -2>,  	 G2 --   1/8th.( 87) <      > 	V 85 - M 87	= -2  %-2  	q= -2  %-2  	 0.488(89)
printNotes: i= 133-<2093 2077  16>,  	F#2 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(89)
printNotes: i= 134-<1773 2184 -411>,  	 G2 --    1/4th(117) <      > 	V121 - M117	= +4  %+3  	q= +4  %+3  	 0.697(89)
printNotes: i= 135-<1149 1694 -545>,  	 D2 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(89)
printNotes: i= 136-<1797 1811 -14>,  	Ek2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(89)
printNotes: i= 137-<1387 1694 -307>,  	 D2 --   1/8th.( 87) <      > 	V 74 - M 87	=-13  %-18  	q=-13  %-18  	 0.424(89)
printNotes: i= 138-<   0 2184 -2184>,  	 G2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(89)
printNotes: i= 139-<1496 2077 -581>,  	F#2 -- 1/16th..( 51) <      > 	V 52 - M 51	= +1  %+2  	q= +1  %+2  	 0.296(89)
printNotes: i= 140-<1846 1811  35>,  	Ek2 -- 1/16th..( 51) <      > 	V 48 - M 51	= -3  %-6  	q= -3  %-6  	 0.273(89)
printNotes: i= 141-<1690 1694  -4>,  	 D2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(89)
printNotes: i= 142-<1825 1811  14>,  	Ek2 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(89)
printNotes: i= 143-<2081 2077   4>,  	F#2 --  1/16th.( 44) <      > 	V 38 - M 44	= -6  %-16  	q= -6  %-16  	 0.215(89)
printNotes: i= 144-<1833 1811  22>,  	Ek2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(89)
printNotes: i= 145-<2151 2184 -33>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(89)
printNotes: i= 146-<2083 2077   6>,  	F#2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(89)
printNotes: i= 147-<2137 2184 -47>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 148-<2083 2077   6>,  	F#2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(89)
printNotes: i= 149-<2170 2184 -14>,  	 G2 --  1/16th.( 44) <      > 	V 38 - M 44	= -6  %-16  	q= -6  %-16  	 0.215(89)
printNotes: i= 150-<2100 2077  23>,  	F#2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(89)
printNotes: i= 151-<2176 2184  -8>,  	 G2 --  1/16th.( 44) <      > 	V 37 - M 44	= -7  %-19  	q= -7  %-19  	 0.209(89)
printNotes: i= 152-<2101 2077  24>,  	F#2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 153-<2096 2184 -88>,  	 G2 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(89)


silence
printNotes: i= 154-< 878   40 838>,  	Slc --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(89)
printNotes: i= 155-<1702 1811 -109>,  	Ek2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(89)
printNotes: i= 156-<1710 1694  16>,  	 D2 --     half(233) <      > 	V226 - M233	= -7  %-3  	q= -7  %-3  	 1.306(89)
printNotes: i= 157-<2162 2184 -22>,  	 G2 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(89)


silence
printNotes: i= 158-<   0   40 -40>,  	Slc --   1/4th.(175) <      > 	V174 - M175	= -1  %-1  	q= -1  %-1  	 1.004(89)
printNotes: i= 159-<1659 1694 -35>,  	 D2 --  1/16th.( 44) <      > 	V 45 - M 44	= +1  %+2  	q= +1  %+2  	 0.255(89)
printNotes: i= 160-<1811 1811    >,  	Ek2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(89)
printNotes: i= 161-<2047 2077 -30>,  	F#2 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(89)
printNotes: i= 162-<1800 1811 -11>,  	Ek2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(89)
printNotes: i= 163-<1877 2077 -200>,  	F#2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(89)
printNotes: i= 164-<1806 1811  -5>,  	Ek2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(89)
printNotes: i= 165-<1874 2077 -203>,  	F#2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(89)
printNotes: i= 166-<1816 1811   5>,  	Ek2 -- 1/32nd..( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(89)
printNotes: i= 167-<1696 1694   2>,  	 D2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(89)
printNotes: i= 168-<1810 1811  -1>,  	Ek2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(89)
printNotes: i= 169-<1687 1694  -7>,  	 D2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(89)
printNotes: i= 170-<1815 1811   4>,  	Ek2 --    half.(350) <-1*sela> 	V330 - M350	=-20  %-6  	q=-20  %-6  	 1.910(89)


silence
printNotes: i= 171-< 303   40 263>,  	Slc --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(89)
