	voice Midi Diff								present		 Best		Sec

printNotes: i= 114-<1272 2922 -1650>,  	 D3 --  1/64th.( 12) <      > 	V  9 - M 33	=-24  %-267  	q= -3  %-33  	 0.046(78)<-----%267   %33 <<

printNotes: i= 115-<2719 2709  10>,  	 C3 --     half(264) <1*sela> 	V292 - M231	=+61  %+21  	q=+28  %+10  	 1.689(78)<-----%21   %10



silence
printNotes: i= 116-<   0   40 -40>,  	Slc --    1/8th( 66) <      > 	V 64 - M132	=-68  %-106  	q= -2  %-3  	 0.366(78)<-----%106   %3

printNotes: i= 117-<2553 2230 323>,  	 G2 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(78)<-----%433   %33 <<

printNotes: i= 118-<2735 2709  26>,  	 C3 -- 1/32nd..( 29) <      > 	V 29 - M 16	=+13  %+45  	q=  +  %+0  	 0.163(78)<-----%45   %0

printNotes: i= 119-<2628 2609  19>,  	 B2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(78)<-----%23   %8 <<

printNotes: i= 120-<2705 2709  -4>,  	 C3 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(78)
printNotes: i= 121-<2924 2922   2>,  	 D3 --   1/16th( 33) <      > 	V 36 - M 33	= +3  %+8  	q= +3  %+8  	 0.203(78)
printNotes: i= 122-<2700 2709  -9>,  	 C3 --   1/32nd( 16) <      > 	V 18 - M 11	= +7  %+39  	q= +2  %+11  	 0.099(78)<-----%39   %11

printNotes: i= 123-<2830 2922 -92>,  	 D3 --  1/64th.( 12) <      > 	V  9 - M 11	= -2  %-22  	q= -3  %-33  	 0.046(78)
printNotes: i= 124-<2725 2709  16>,  	 C3 --   1/32nd( 16) <      > 	V 18 - M 11	= +7  %+39  	q= +2  %+11  	 0.099(78)<-----%39   %11

printNotes: i= 125-<2772 2922 -150>,  	 D3 --    128th(  4) <      > 	V  4 - M 11	= -7  %-175  	q=  +  %+0  	 0.017(78)<-----%175   %0 <<

printNotes: i= 126-<2716 2709   7>,  	 C3 --  1/32nd.( 25) <      > 	V 21 - M 11	=+10  %+48  	q= -4  %-19  	 0.116(78)<-----%48   %19

printNotes: i= 127-<2888 2922 -34>,  	 D3 --   1/64th(  8) <      > 	V 10 - M 11	= -1  %-10  	q= +2  %+20  	 0.052(78)
printNotes: i= 128-<2718 2709   9>,  	 C3 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(78)
printNotes: i= 129-<2923 2922   1>,  	 D3 --  1/64th.( 12) <      > 	V 13 - M 33	=-20  %-154  	q= +1  %+8  	 0.070(78)<-----%154   %8 <<

printNotes: i= 130-<2705 2709  -4>,  	 C3 --  1/8th..(115) <      > 	V122 - M 99	=+23  %+19  	q= +7  %+6  	 0.702(78)<-----%19   %6

printNotes: i= 131-<2903 2922 -19>,  	 D3 -- 1/64th..( 14) <      > 	V 14 - M 33	=-19  %-136  	q=  +  %+0  	 0.075(78)<-----%136   %0 <<

printNotes: i= 132-<2711 2709   2>,  	 C3 --  1/8th..(115) <      > 	V110 - M 66	=+44  %+40  	q= -5  %-5  	 0.633(78)<-----%40   %5

printNotes: i= 133-<2938 2922  16>,  	 D3 -- 1/64th..( 14) <      > 	V 14 - M 33	=-19  %-136  	q=  +  %+0  	 0.075(78)<-----%136   %0 <<

printNotes: i= 134-<2710 2709   1>,  	 C3 -- 1/16th..( 58) <      > 	V 61 - M 33	=+28  %+46  	q= +3  %+5  	 0.348(78)<-----%46   %5

printNotes: i= 135-<2921 2922  -1>,  	 D3 -- 1/64th..( 14) <      > 	V 14 - M 33	=-19  %-136  	q=  +  %+0  	 0.075(78)<-----%136   %0 <<

printNotes: i= 136-<2703 2709  -6>,  	 C3 --  1/16th.( 49) <      > 	V 48 - M 33	=+15  %+31  	q= -1  %-2  	 0.273(78)<-----%31   %2

printNotes: i= 137-<2599 2609 -10>,  	 B2 --   1/32nd( 16) <      > 	V 16 - M 33	=-17  %-106  	q=  +  %+0  	 0.087(78)<-----%106   %0 <<

printNotes: i= 138-<2869 2922 -53>,  	 D3 --  1/8th..(115) <      > 	V110 - M132	=-22  %-20  	q= -5  %-5  	 0.633(78)<-----%20   %5

printNotes: i= 139-<2587 2709 -122>,  	 C3 --   1/8th.( 99) <      > 	V 92 - M 66	=+26  %+28  	q= -7  %-8  	 0.528(78)<-----%28   %8

printNotes: i= 140-<1305 2922 -1617>,  	 D3 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(78)<-----%45   %9 <<

printNotes: i= 141-<2720 2709  11>,  	 C3 --  1/32nd.( 25) <      > 	V 25 - M 16	= +9  %+36  	q=  +  %+0  	 0.139(78)<-----%36   %0

printNotes: i= 142-<2575 2609 -34>,  	 B2 -- 1/64th..( 14) <      > 	V 15 - M 33	=-18  %-120  	q= +1  %+7  	 0.081(78)<-----%120   %7 <<

printNotes: i= 143-<2723 2709  14>,  	 C3 --  1/32nd.( 25) <      > 	V 25 - M 16	= +9  %+36  	q=  +  %+0  	 0.139(78)<-----%36   %0

printNotes: i= 144-<2859 2922 -63>,  	 D3 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(78)<-----%78   %33 <<

printNotes: i= 145-<2618 2609   9>,  	 B2 --   1/16th( 33) <      > 	V 31 - M 22	= +9  %+29  	q= -2  %-6  	 0.174(78)<-----%29   %6

printNotes: i= 146-<2688 2709 -21>,  	 C3 --   1/32nd( 16) <      > 	V 18 - M 22	= -4  %-22  	q= +2  %+11  	 0.099(78)<-----%22   %11

printNotes: i= 147-<2612 2609   3>,  	 B2 --   1/16th( 33) <      > 	V 34 - M 44	=-10  %-29  	q= +1  %+3  	 0.192(78)<-----%29   %3

printNotes: i= 148-<2924 2922   2>,  	 D3 --  1/8th..(115) <      > 	V109 - M110	= -1  %-1  	q= -6  %-6  	 0.627(78)
printNotes: i= 149-<2703 2709  -6>,  	 C3 --    1/4th(132) <1*sela> 	V153 - M132	=+21  %+14  	q=+21  %+14  	 0.882(78)
printNotes: i= 150-<2600 2609  -9>,  	 B2 --  1/64th.( 12) <      > 	V 12 - M 33	=-21  %-175  	q=  +  %+0  	 0.064(78)<-----%175   %0 <<

printNotes: i= 151-<2247 2709 -462>,  	 C3 --    1/4th(132) <1*sela> 	V148 - M 49	=+99  %+67  	q=+16  %+11  	 0.853(78)<-----%67   %11



silence
printNotes: i= 152-<   0   40 -40>,  	Slc --   1/16th( 33) <      > 	V 35 - M132	=-97  %-277  	q= +2  %+6  	 0.197(78)<-----%277   %6

printNotes: i= 153-<1786 2230 -444>,  	 G2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(78)
printNotes: i= 154-<2696 2709 -13>,  	 C3 --  1/8th..(115) <      > 	V108 - M132	=-24  %-22  	q= -7  %-6  	 0.621(78)<-----%22   %6

printNotes: i= 155-<2592 2609 -17>,  	 B2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(78)
printNotes: i= 156-<2704 2709  -5>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(78)<-----%33   %0 <<

printNotes: i= 157-<2469 2429  40>,  	 A2 --  1/16th.( 49) <      > 	V 44 - M 49	= -5  %-11  	q= -5  %-11  	 0.250(78)
printNotes: i= 158-<2570 2609 -39>,  	 B2 --  1/16th.( 49) <      > 	V 52 - M 66	=-14  %-27  	q= +3  %+6  	 0.296(78)<-----%27   %6

printNotes: i= 159-<2790 2709  81>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(78)<-----%33   %0 <<

printNotes: i= 160-<2577 2609 -32>,  	 B2 --  1/32nd.( 25) <      > 	V 25 - M 16	= +9  %+36  	q=  +  %+0  	 0.139(78)<-----%36   %0

printNotes: i= 161-<2461 2429  32>,  	 A2 --   1/32nd( 16) <      > 	V 18 - M 33	=-15  %-83  	q= +2  %+11  	 0.099(78)<-----%83   %11

printNotes: i= 162-<2594 2609 -15>,  	 B2 --  1/32nd.( 25) <      > 	V 24 - M 16	= +8  %+33  	q= -1  %-4  	 0.134(78)<-----%33   %4
