	voice Midi Diff								present		 Best		Sec

printNotes: i= 153-<2445 2494 -49>,  	 G2 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(88)<-----%67   %22 <<

printNotes: i= 154-<2310 2294  16>,  	 F2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(88)<-----%25   %10

printNotes: i= 155-<2435 2494 -59>,  	 G2 --   1/64th(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(88)<-----%114   %0 <<

printNotes: i= 156-<2209 2294 -85>,  	 F2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 157-<2151 2181 -30>,  	 E2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 158-<2255 2294 -39>,  	 F2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(88)<-----%88   %38 <<

printNotes: i= 159-<2169 2181 -12>,  	 E2 -- 1/64th..( 13) <      > 	V 13 - M 29	=-16  %-123  	q=  +  %+0  	 0.070(88)<-----%123   %0 <<

printNotes: i= 160-<2292 2294  -2>,  	 F2 --  1/4th..(205) <      > 	V204 - M234	=-30  %-15  	q= -1  %-0  	 1.178(88)<-----%15   %0

printNotes: i= 161-<2205 2181  24>,  	 E2 --  1/16th.( 44) <      > 	V 38 - M 29	= +9  %+24  	q= -6  %-16  	 0.215(88)<-----%24   %16

printNotes: i= 162-<1474 2494 -1020>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M 29	=-19  %-190  	q= -1  %-10  	 0.052(88)<-----%190   %10 <<

printNotes: i= 163-<2259 2294 -35>,  	 F2 --    1/8th( 58) <      > 	V 68 - M 29	=+39  %+57  	q=+10  %+15  	 0.389(88)<-----%57   %15



silence
