	voice Midi Diff								present		 Best		Sec

printNotes: i= 151-<2485 2468  17>,  	 F2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 152-<2677 2668   9>,  	 G2 --    1/8th( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(87)
printNotes: i= 153-<2778 2820 -42>,  	Ak2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(87)
printNotes: i= 154-<1571 2668 -1097>,  	 G2 --  1/16th.( 45) <      > 	V 38 - M 45	= -7  %-18  	q= -7  %-18  	 0.215(87)


silence
printNotes: i= 155-<  17   40 -23>,  	Slc --   whole.(713) <-7*sela> 	V602 - M719	=-117  %-19  	q=-111  %-18  	 3.489(87)
printNotes: i= 156-<1645 1618  27>,  	Ak1 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 157-< 934 1947 -1013>,  	 C2 --  1/16th.( 45) <      > 	V 48 - M 45	= +3  %+6  	q= +3  %+6  	 0.273(87)
printNotes: i= 158-<1976 1947  29>,  	 C2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
printNotes: i= 159-<2647 2668 -21>,  	 G2 --    1/4th(119) <1*sela> 	V137 - M119	=+18  %+13  	q=+18  %+13  	 0.789(87)
printNotes: i= 160-<2656 2668 -12>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
printNotes: i= 161-<2665 2668  -3>,  	 G2 --   1/4th.(178) <      > 	V178 - M178	=  +  %+0  	q=  +  %+0  	 1.027(87)<-- same note
printNotes: i= 162-<2471 2668 -197>,  	 G2 --    1/8th( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(87)<-- same note
printNotes: i= 163-<2673 2668   5>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
printNotes: i= 164-<2922 2942 -20>,  	Bb2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(87)
printNotes: i= 165-<2801 2787  14>,  	Ab2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(87)
printNotes: i= 166-<2965 2942  23>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
printNotes: i= 167-<2686 2668  18>,  	 G2 --  1/16th.( 45) <      > 	V 43 - M 45	= -2  %-5  	q= -2  %-5  	 0.244(87)
printNotes: i= 168-<2810 2820 -10>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 169-<2267 2468 -201>,  	 F2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(87)
printNotes: i= 170-<2020 2820 -800>,  	Ak2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 171-<2476 2468   8>,  	 F2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(87)


silence
printNotes: i= 172-<   0   40 -40>,  	Slc --    1/4th(119) <      > 	V114 - M178	=-64  %-56  	q= -5  %-4  	 0.656(87)<-----%56   %4

printNotes: i= 173-<1355 1468 -113>,  	 G1 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(87)
printNotes: i= 174-<2228 2468 -240>,  	 F2 -- 1/16th..( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(87)
printNotes: i= 175-<2075 2168 -93>,  	 D2 --  1/16th.( 45) <      > 	V 46 - M 45	= +1  %+2  	q= +1  %+2  	 0.261(87)
