	voice Midi Diff								present		 Best		Sec

printNotes: i= 111-<2406 2462 -56>,  	 F3 -- 1/16th..( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(87)
printNotes: i= 112-<2476 2462  14>,  	 F3 -- 1/16th..( 52) <      > 	V 49 - M 52	= -3  %-6  	q= -3  %-6  	 0.279(87)<-- same note
printNotes: i= 113-<2755 2781 -26>,  	Ab3 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
printNotes: i= 114-<2678 2681  -3>,  	 G3 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(87)
printNotes: i= 115-<2501 2462  39>,  	 F3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 116-<2612 2681 -69>,  	 G3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 117-<2520 2462  58>,  	 F3 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 118-<2628 2681 -53>,  	 G3 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(87)
printNotes: i= 119-<2439 2355  84>,  	 E3 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 120-<2454 2462  -8>,  	 F3 --  1/16th.( 44) <      > 	V 47 - M 44	= +3  %+6  	q= +3  %+6  	 0.267(87)
printNotes: i= 121-<2388 2355  33>,  	 E3 --    128th(  4) <      > 	V  3 - M  4	= -1  %-33  	q= -1  %-33  	 0.012(87)
printNotes: i= 122-<2458 2462  -4>,  	 F3 --    1/4th(118) <      > 	V118 - M118	=  +  %+0  	q=  +  %+0  	 0.679(87)
printNotes: i= 123-<2459 2462  -3>,  	 F3 --     half(237) <-1*sela> 	V222 - M237	=-15  %-7  	q=-15  %-7  	 1.283(87)<-- same note
printNotes: i= 124-<2299 2270  29>,  	Eb3 -- 1/32nd..( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(87)
printNotes: i= 125-<2242 2462 -220>,  	 F3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 126-<2220 2185  35>,  	 D3 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(87)
printNotes: i= 127-<2266 2355 -89>,  	 E3 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(87)
printNotes: i= 128-<1938 1972 -34>,  	 C3 --  1/16th.( 44) <      > 	V 42 - M 44	= -2  %-5  	q= -2  %-5  	 0.238(87)
printNotes: i= 129-<2281 2355 -74>,  	 E3 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(87)
printNotes: i= 130-<2198 2185  13>,  	 D3 --   1/32nd( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(87)
printNotes: i= 131-<2349 2355  -6>,  	 E3 --   1/64th(  7) <      > 	V  9 - M  7	= +2  %+22  	q= +2  %+22  	 0.046(87)
printNotes: i= 132-<2179 2185  -6>,  	 D3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 133-<2403 2462 -59>,  	 F3 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(87)
printNotes: i= 134-<2280 2270  10>,  	Eb3 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(87)
printNotes: i= 135-<2432 2462 -30>,  	 F3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(87)
printNotes: i= 136-<2317 2315   2>,  	Ek3 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 137-<2482 2462  20>,  	 F3 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(87)
printNotes: i= 138-<2695 2781 -86>,  	Ab3 --   1/32nd( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(87)
printNotes: i= 139-<2317 2270  47>,  	Eb3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 140-<2445 2462 -17>,  	 F3 --    1/8th( 59) <      > 	V 65 - M 59	= +6  %+9  	q= +6  %+9  	 0.372(87)
printNotes: i= 141-<2379 2315  64>,  	Ek3 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(87)
printNotes: i= 142-<2605 2681 -76>,  	 G3 --    1/4th(118) <1*sela> 	V144 - M118	=+26  %+18  	q=+26  %+18  	 0.830(87)
printNotes: i= 143-<2280 2462 -182>,  	 F3 --   1/4th.(178) <-2*sela> 	V148 - M178	=-30  %-20  	q=-30  %-20  	 0.853(87)
printNotes: i= 144-<2361 2355   6>,  	 E3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i= 145-<2475 2462  13>,  	 F3 --    1/8th( 59) <      > 	V 61 - M 59	= +2  %+3  	q= +2  %+3  	 0.348(87)
printNotes: i= 146-<1216 2681 -1465>,  	 G3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 147-<2072 2462 -390>,  	 F3 --   1/8th.( 89) <      > 	V 86 - M 89	= -3  %-3  	q= -3  %-3  	 0.493(87)


silence
printNotes: i= 148-<   0   40 -40>,  	Slc --   half..(414) <1*sela> 	V443 - M414	=+29  %+7  	q=+29  %+7  	 2.566(87)
printNotes: i= 149-<1746 1762 -16>,  	Bb2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 150-<2047 1972  75>,  	 C3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 151-<1787 2462 -675>,  	 F3 -- 1/16th..( 52) <      > 	V 53 - M 52	= +1  %+2  	q= +1  %+2  	 0.302(87)
printNotes: i= 152-< 808 1972 -1164>,  	 C3 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(87)
printNotes: i= 153-<2430 2462 -32>,  	 F3 --   1/8th.( 89) <      > 	V 77 - M 89	=-12  %-16  	q=-12  %-16  	 0.441(87)
printNotes: i= 154-<2470 2462   8>,  	 F3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
printNotes: i= 155-<2384 2355  29>,  	 E3 --    128th(  4) <      > 	V  3 - M  4	= -1  %-33  	q= -1  %-33  	 0.012(87)
printNotes: i= 156-<2150 2462 -312>,  	 F3 -- 1/16th..( 52) <      > 	V 51 - M 52	= -1  %-2  	q= -1  %-2  	 0.290(87)
printNotes: i= 157-< 854 2270 -1416>,  	Eb3 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(87)
printNotes: i= 158-<2435 2462 -27>,  	 F3 --  1/16th.( 44) <      > 	V 45 - M 44	= +1  %+2  	q= +1  %+2  	 0.255(87)
printNotes: i= 159-<2344 2315  29>,  	Ek3 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(87)
printNotes: i= 160-<2470 2462   8>,  	 F3 --    1/4th(118) <1*sela> 	V135 - M118	=+17  %+13  	q=+17  %+13  	 0.778(87)


silence
printNotes: i= 161-<   0   40 -40>,  	Slc --   1/4th.(178) <      > 	V173 - M183	=-10  %-6  	q= -5  %-3  	 0.998(87)
printNotes: i= 162-<1369 1262 107>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(87)
printNotes: i= 163-<1055 1972 -917>,  	 C3 -- 1/16th..( 52) <      > 	V 53 - M 52	= +1  %+2  	q= +1  %+2  	 0.302(87)
printNotes: i= 164-<2004 1972  32>,  	 C3 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(87)<-- same note
printNotes: i= 165-<2383 2462 -79>,  	 F3 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(87)
printNotes: i= 166-< 788 2355 -1567>,  	 E3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(87)
printNotes: i= 167-<2448 2462 -14>,  	 F3 --    1/4th(118) <      > 	V128 - M118	=+10  %+8  	q=+10  %+8  	 0.737(87)
printNotes: i= 168-<2455 2462  -7>,  	 F3 --  1/16th.( 44) <      > 	V 44 - M 44	=  +  %+0  	q=  +  %+0  	 0.250(87)<-- same note
printNotes: i= 169-<2368 2355  13>,  	 E3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(87)
printNotes: i= 170-<2469 2462   7>,  	 F3 --    1/8th( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(87)
printNotes: i= 171-<1637 2781 -1144>,  	Ab3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 172-<2609 2681 -72>,  	 G3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 173-<1926 2462 -536>,  	 F3 -- 1/16th..( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(87)
printNotes: i= 174-<2460 2462  -2>,  	 F3 --   1/8th.( 89) <      > 	V 82 - M 89	= -7  %-9  	q= -7  %-9  	 0.470(87)<-- same note
printNotes: i= 175-<2364 2355   9>,  	 E3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 176-<2477 2462  15>,  	 F3 --    1/4th(118) <1*sela> 	V140 - M118	=+22  %+16  	q=+22  %+16  	 0.807(87)


silence
