	voice Midi Diff								present		 Best		Sec

printNotes: i= 165-<1745 1746  -1>,  	Bb2 --  1/16th.( 40) <      > 	V 39 - M 40	= -1  %-3  	q= -1  %-3  	 0.221(97)
printNotes: i= 166-<1634 1601  33>,  	Ak2 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(97)
printNotes: i= 167-<1747 1746   1>,  	Bb2 --  1/16th.( 40) <      > 	V 41 - M 40	= +1  %+2  	q= +1  %+2  	 0.232(97)


silence
printNotes: i= 168-<   0   40 -40>,  	Slc --    half.(320) <      > 	V315 - M300	=+15  %+5  	q= -5  %-2  	 1.823(97)
printNotes: i= 169-<1511 1475  36>,  	 G2 --  1/32nd.( 20) <      > 	V 18 - M 20	= -2  %-11  	q= -2  %-11  	 0.099(97)
printNotes: i= 170-<1733 1746 -13>,  	Bb2 --    1/8th( 53) <      > 	V 62 - M 53	= +9  %+15  	q= +9  %+15  	 0.354(97)
printNotes: i= 171-<1440 1746 -306>,  	Bb2 --    1/8th( 53) <      > 	V 53 - M 53	=  +  %+0  	q=  +  %+0  	 0.302(97)<-- same note
printNotes: i= 172-<1162 1601 -439>,  	Ak2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(97)
printNotes: i= 173-<1621 1746 -125>,  	Bb2 --   1/4th.(160) <-1*sela> 	V146 - M160	=-14  %-10  	q=-14  %-10  	 0.842(97)
printNotes: i= 174-<1615 1601  14>,  	Ak2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(97)
printNotes: i= 175-<1042 1746 -704>,  	Bb2 --    1/8th( 53) <      > 	V 55 - M 53	= +2  %+4  	q= +2  %+4  	 0.313(97)
