	voice Midi Diff								present		 Best		Sec

printNotes: i= 135-<2439 2481 -42>,  	Bb2 --   1/4th.(193) <-1*sela> 	V173 - M 97	=+76  %+44  	q=-20  %-12  	 0.998(80)<-----%44   %12

printNotes: i= 136-<2219 2217   2>,  	 G2 --   1/4th.(193) <      > 	V179 - M257	=-78  %-44  	q=-14  %-8  	 1.033(80)<-----%44   %8

printNotes: i= 137-<2413 2428 -15>,  	 A2 -- 1/32nd..( 28) <      > 	V 27 - M 16	=+11  %+41  	q= -1  %-4  	 0.151(80)<-----%41   %4

printNotes: i= 138-<2400 2481 -81>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 139-<2406 2428 -22>,  	 A2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 140-<2234 2217  17>,  	 G2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(80)<-----%19   %4

printNotes: i= 141-<2059 2082 -23>,  	F#2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 142-<2218 2217   1>,  	 G2 --   1/16th( 32) <      > 	V 30 - M 16	=+14  %+47  	q= -2  %-7  	 0.168(80)<-----%47   %7

printNotes: i= 143-<2389 2428 -39>,  	 A2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(80)<-----%167   %0 <<

printNotes: i= 144-<2219 2217   2>,  	 G2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 145-<2083 2082   1>,  	F#2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 146-<1816 1859 -43>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 147-<2098 2082  16>,  	F#2 -- 1/32nd..( 28) <      > 	V 26 - M 16	=+10  %+38  	q= -2  %-8  	 0.145(80)<-----%38   %8

printNotes: i= 148-<2228 2217  11>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(80)<-----%45   %9 <<

printNotes: i= 149-<2093 2082  11>,  	F#2 --    1/8th( 64) <      > 	V 75 - M129	=-54  %-72  	q=+11  %+15  	 0.430(80)<-----%72   %15

printNotes: i= 150-<2220 2217   3>,  	 G2 --  1/16th.( 48) <      > 	V 45 - M 43	= +2  %+4  	q= -3  %-7  	 0.255(80)
printNotes: i= 151-<2427 2428  -1>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 43	=-27  %-169  	q=  +  %+0  	 0.087(80)<-----%169   %0 <<

printNotes: i= 152-<2297 2217  80>,  	 G2 --  1/8th..(113) <      > 	V117 - M107	=+10  %+9  	q= +4  %+3  	 0.673(80)<-----%9   %3



silence
printNotes: i= 153-<   0   40 -40>,  	Slc --   1/4th.(193) <      > 	V197 - M193	= +4  %+2  	q= +4  %+2  	 1.138(80)
printNotes: i= 154-<1872 2217 -345>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 155-<2442 2481 -39>,  	Bb2 --    1/4th(129) <1*sela> 	V160 - M 97	=+63  %+39  	q=+31  %+19  	 0.923(80)<-----%39   %19

printNotes: i= 156-<2226 2217   9>,  	 G2 --   1/4th.(193) <      > 	V199 - M257	=-58  %-29  	q= +6  %+3  	 1.149(80)<-----%29   %3

printNotes: i= 157-<2373 2428 -55>,  	 A2 --    128th(  4) <      > 	V  2 - M 16	=-14  %-700  	q= -2  %-100  	 0.006(80)<-----%700   %100 <<

printNotes: i= 158-<2424 2481 -57>,  	Bb2 --   1/16th( 32) <      > 	V 33 - M 16	=+17  %+52  	q= +1  %+3  	 0.186(80)<-----%52   %3

printNotes: i= 159-<2385 2428 -43>,  	 A2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(80)<-----%39   %4

printNotes: i= 160-<2220 2217   3>,  	 G2 --  1/32nd.( 24) <      > 	V 25 - M 32	= -7  %-28  	q= +1  %+4  	 0.139(80)<-----%28   %4

printNotes: i= 161-<2076 2082  -6>,  	F#2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(80)<-----%78   %11

printNotes: i= 162-<2250 2217  33>,  	 G2 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(80)<-----%433   %33 <<

