	voice Midi Diff								present		 Best		Sec

printNotes: i= 134-<1766 1765   1>,  	Eb2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(83)
printNotes: i= 135-<1855 2071 -216>,  	F#2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(83)<-----%60   %20 <<

printNotes: i= 136-<1779 1765  14>,  	Eb2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 137-<1689 1694  -5>,  	 D2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 138-<1463 1479 -16>,  	 C2 --   1/4th.(188) <      > 	V186 - M250	=-64  %-34  	q= -2  %-1  	 1.074(83)<-----%34   %1

printNotes: i= 139-<1384 1329  55>,  	Bk1 --  1/16th.( 47) <      > 	V 40 - M 31	= +9  %+22  	q= -7  %-18  	 0.226(83)<-----%22   %18



silence
printNotes: i= 140-<   0   40 -40>,  	Slc --    1/4th(125) <1*sela> 	V150 - M125	=+25  %+17  	q=+25  %+17  	 0.865(83)
printNotes: i= 141-<1132  995 137>,  	 G1 --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(83)<-----%35   %0

printNotes: i= 142-<1471 1479  -8>,  	 C2 --    1/8th( 63) <      > 	V 62 - M 63	= -1  %-2  	q= -1  %-2  	 0.354(83)
printNotes: i= 143-<1688 1694  -6>,  	 D2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(83)
printNotes: i= 144-<1889 1765 124>,  	Eb2 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(83)<-----%41   %5

printNotes: i= 145-<1682 1694 -12>,  	 D2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 146-<1725 1765 -40>,  	Eb2 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(83)<-----%182   %9 <<

printNotes: i= 147-<1475 1479  -4>,  	 C2 -- 1/16th..( 55) <      > 	V 51 - M 63	=-12  %-24  	q= -4  %-8  	 0.290(83)<-----%24   %8

printNotes: i= 148-<1284 1288  -4>,  	Bb1 --   1/4th.(188) <      > 	V203 - M250	=-47  %-23  	q=+15  %+7  	 1.173(83)<-----%23   %7

printNotes: i= 149-<1205 1195  10>,  	 A1 --  1/16th.( 47) <      > 	V 46 - M 31	=+15  %+33  	q= -1  %-2  	 0.261(83)<-----%33   %2



silence
printNotes: i= 150-<   0   40 -40>,  	Slc --  1/8th..(110) <      > 	V109 - M125	=-16  %-15  	q= -1  %-1  	 0.627(83)<-----%15   %1

printNotes: i= 151-<1292 1288   4>,  	Bb1 --  1/16th.( 47) <      > 	V 46 - M 63	=-17  %-37  	q= -1  %-2  	 0.261(83)<-----%37   %2

printNotes: i= 152-<1478 1479  -1>,  	 C2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(83)
printNotes: i= 153-<1680 1694 -14>,  	 D2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(83)<-----%138   %8 <<

printNotes: i= 154-<1475 1479  -4>,  	 C2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(83)
printNotes: i= 155-<1503 1694 -191>,  	 D2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 156-<1307 1288  19>,  	Bb1 --    1/8th( 63) <      > 	V 64 - M 63	= +1  %+2  	q= +1  %+2  	 0.366(83)
printNotes: i= 157-<1174 1195 -21>,  	 A1 --   1/8th.( 94) <      > 	V 92 - M125	=-33  %-36  	q= -2  %-2  	 0.528(83)<-----%36   %2

printNotes: i= 158-<1223 1288 -65>,  	Bb1 --  1/32nd.( 23) <      > 	V 24 - M 47	=-23  %-96  	q= +1  %+4  	 0.134(83)<-----%96   %4

printNotes: i= 159-< 972  995 -23>,  	 G1 --  1/16th.( 47) <      > 	V 48 - M 63	=-15  %-31  	q= +1  %+2  	 0.273(83)<-----%31   %2

printNotes: i= 160-<1209 1195  14>,  	 A1 --     half(250) <1*sela> 	V268 - M250	=+18  %+7  	q=+18  %+7  	 1.550(83)


silence
printNotes: i= 161-<   0   40 -40>,  	Slc --    whole(501) <5*sela> 	V594 - M501	=+93  %+16  	q=+93  %+16  	 3.442(83)
printNotes: i= 162-<1719 1815 -96>,  	Ek2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(83)
