	voice Midi Diff								present		 Best		Sec

printNotes: i= 135-<2497 2494   3>,  	 G2 --    1/4th(120) <      > 	V129 - M135	= -6  %-5  	q= +9  %+7  	 0.743(86)
printNotes: i= 136-<2267 2294 -27>,  	 F2 --    1/8th( 60) <      > 	V 57 - M 15	=+42  %+74  	q= -3  %-5  	 0.325(86)<-----%74   %5

printNotes: i= 137-<2103 2294 -191>,  	 F2 --  1/16th.( 45) <      > 	V 45 - M 45	=  +  %+0  	q=  +  %+0  	 0.255(86)<-- same note
printNotes: i= 138-<2496 2494   2>,  	 G2 --    1/8th( 60) <      > 	V 63 - M 30	=+33  %+52  	q= +3  %+5  	 0.360(86)<-----%52   %5

printNotes: i= 139-<2640 2642  -2>,  	Ak2 --    1/4th(120) <1*sela> 	V140 - M241	=-101  %-72  	q=+20  %+14  	 0.807(86)<-----%72   %14

printNotes: i= 140-<2863 2874 -11>,  	 B2 --   1/16th( 30) <      > 	V 37 - M 45	= -8  %-22  	q= +7  %+19  	 0.209(86)
printNotes: i= 141-<2649 2642   7>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
printNotes: i= 142-<2835 2874 -39>,  	 B2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(86)<-----%25   %8 <<

printNotes: i= 143-<2692 2642  50>,  	Ak2 --  1/32nd.( 23) <      > 	V 20 - M 15	= +5  %+25  	q= -3  %-15  	 0.110(86)<-----%25   %15

printNotes: i= 144-<2811 2874 -63>,  	 B2 --   1/64th(  8) <      > 	V  8 - M 15	= -7  %-88  	q=  +  %+0  	 0.041(86)<-----%88   %0 <<

printNotes: i= 145-<2632 2642 -10>,  	Ak2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(86)<-----%20   %4

printNotes: i= 146-<2489 2494  -5>,  	 G2 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(86)
printNotes: i= 147-<2597 2642 -45>,  	Ak2 --  1/16th.( 45) <      > 	V 42 - M 15	=+27  %+64  	q= -3  %-7  	 0.238(86)<-----%64   %7

printNotes: i= 148-<2499 2494   5>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 149-<2573 2642 -69>,  	Ak2 --   128th.(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(86)<-----%150   %0 <<

printNotes: i= 150-<2485 2494  -9>,  	 G2 --    128th(  4) <      > 	V  3 - M 30	=-27  %-900  	q= -1  %-33  	 0.012(86)<-----%900   %33 <<

printNotes: i= 151-<2322 2294  28>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
printNotes: i= 152-<2445 2494 -49>,  	 G2 --  1/64th.( 11) <      > 	V  9 - M 15	= -6  %-67  	q= -2  %-22  	 0.046(86)<-----%67   %22 <<

printNotes: i= 153-<2310 2294  16>,  	 F2 --  1/32nd.( 23) <      > 	V 20 - M 15	= +5  %+25  	q= -3  %-15  	 0.110(86)<-----%25   %15

printNotes: i= 154-<2435 2494 -59>,  	 G2 --  128th..(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(86)<-----%114   %0 <<

printNotes: i= 155-<2207 2294 -87>,  	 F2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i= 156-<2179 2175   4>,  	 E2 --  1/16th.( 45) <      > 	V 38 - M 15	=+23  %+61  	q= -7  %-18  	 0.215(86)<-----%61   %18

printNotes: i= 157-<2292 2294  -2>,  	 F2 --  1/4th..(211) <      > 	V204 - M 15	=+189  %+93  	q= -7  %-3  	 1.178(86)<-----%93   %3

printNotes: i= 158-<2193 2175  18>,  	 E2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(86)
printNotes: i= 159-<2133 2294 -161>,  	 F2 --    1/8th( 60) <      > 	V 65 - M241	=-176  %-271  	q= +5  %+8  	 0.372(86)<-----%271   %8

printNotes: i= 160-<2286 2175 111>,  	 E2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(86)<-----%88   %6 <<



silence
printNotes: i= 161-<   0   40 -40>,  	Slc --    whole(481) <1*sela> 	V503 - M331	=+172  %+34  	q=+22  %+4  	 2.914(86)<-----%34   %4

printNotes: i= 162-<1456 2294 -838>,  	 F2 --  1/8th..(105) <      > 	V102 - M 60	=+42  %+41  	q= -3  %-3  	 0.586(86)<-----%41   %3

printNotes: i= 163-<1698 2175 -477>,  	 E2 --  1/16th.( 45) <      > 	V 41 - M 30	=+11  %+27  	q= -4  %-10  	 0.232(86)<-----%27   %10

