	voice Midi Diff								present		 Best		Sec

printNotes: i= 132-<2538 2558 -20>,  	 C3 --    1/4th(116) <1*sela> 	V132 - M116	=+16  %+12  	q=+16  %+12  	 0.760(89)
printNotes: i= 133-<2451 2462 -11>,  	 B2 --   128th.(  5) <      > 	V  5 - M  4	= +1  %+20  	q=  +  %+0  	 0.023(89)
printNotes: i= 134-<2373 2382  -9>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 135-<1265 2558 -1293>,  	 C3 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)
printNotes: i= 136-<2389 2382   7>,  	Bb2 -- 1/16th..( 51) <      > 	V 49 - M 51	= -2  %-4  	q= -2  %-4  	 0.279(89)
printNotes: i= 137-<2553 2558  -5>,  	 C3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 138-<2393 2382  11>,  	Bb2 --    1/4th(116) <      > 	V121 - M116	= +5  %+4  	q= +5  %+4  	 0.697(89)
printNotes: i= 139-<2213 2207   6>,  	Ak2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(89)
printNotes: i= 140-<2363 2382 -19>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 141-<2228 2207  21>,  	Ak2 --  1/16th.( 43) <      > 	V 39 - M 43	= -4  %-10  	q= -4  %-10  	 0.221(89)
printNotes: i= 142-<2517 2558 -41>,  	 C3 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)
printNotes: i= 143-<2229 2207  22>,  	Ak2 --  1/16th.( 43) <      > 	V 41 - M 43	= -2  %-5  	q= -2  %-5  	 0.232(89)
printNotes: i= 144-<2394 2412 -18>,  	Bk2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 145-<2211 2207   4>,  	Ak2 --  1/16th.( 43) <      > 	V 41 - M 43	= -2  %-5  	q= -2  %-5  	 0.232(89)
printNotes: i= 146-<2391 2412 -21>,  	Bk2 --  1/16th.( 43) <      > 	V 42 - M 43	= -1  %-2  	q= -1  %-2  	 0.238(89)
printNotes: i= 147-<2209 2207   2>,  	Ak2 --   1/8th.( 87) <      > 	V 76 - M 87	=-11  %-14  	q=-11  %-14  	 0.435(89)
printNotes: i= 148-<2095 2083  12>,  	 G2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)
printNotes: i= 149-<2207 2207    >,  	Ak2 --  1/64th.( 11) <      > 	V 12 - M 14	= -2  %-17  	q= +1  %+8  	 0.064(89)
printNotes: i= 150-<2086 2083   3>,  	 G2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 151-<2359 2412 -53>,  	Bk2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(89)
printNotes: i= 152-<2094 2083  11>,  	 G2 --    1/8th( 58) <      > 	V 57 - M 58	= -1  %-2  	q= -1  %-2  	 0.325(89)
printNotes: i= 153-<2184 2207 -23>,  	Ak2 --    1/8th( 58) <      > 	V 60 - M 58	= +2  %+3  	q= +2  %+3  	 0.342(89)
printNotes: i= 154-<2100 2083  17>,  	 G2 --   1/4th.(173) <      > 	V167 - M173	= -6  %-4  	q= -6  %-4  	 0.964(89)
