	voice Midi Diff								present		 Best		Sec

printNotes: i= 163-<1092 1275 -183>,  	 G1 --  1/32nd.( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(75)
printNotes: i= 164-< 951 1417 -466>,  	Ak1 --   1/8th.(103) <      > 	V 98 - M103	= -5  %-5  	q= -5  %-5  	 0.563(75)
printNotes: i= 165-<1642 1670 -28>,  	 B1 --  128th..(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(75)


silence
printNotes: i= 166-<   0   40 -40>,  	Slc --   1/4th.(206) <-1*sela> 	V174 - M151	=+23  %+13  	q=-32  %-18  	 1.004(75)
printNotes: i= 167-<1336 1367 -31>,  	Ab1 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(75)
printNotes: i= 168-<1226 1275 -49>,  	 G1 --   1/16th( 34) <      > 	V 41 - M 34	= +7  %+17  	q= +7  %+17  	 0.232(75)


silence
printNotes: i= 169-<   0   40 -40>,  	Slc --  1/16th.( 52) <      > 	V 48 - M 52	= -4  %-8  	q= -4  %-8  	 0.273(75)
printNotes: i= 170-<1406 1417 -11>,  	Ak1 --    1/4th(138) <      > 	V143 - M138	= +5  %+3  	q= +5  %+3  	 0.824(75)
printNotes: i= 171-<1717 1761 -44>,  	 C2 --   1/16th( 34) <      > 	V 37 - M 34	= +3  %+8  	q= +3  %+8  	 0.209(75)
printNotes: i= 172-<1738 1761 -23>,  	 C2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(75)<-- same note
printNotes: i= 173-<1746 1761 -15>,  	 C2 --  1/16th.( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(75)<-- same note
printNotes: i= 174-<1677 1670   7>,  	 B1 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(75)
printNotes: i= 175-<1779 1761  18>,  	 C2 --    1/8th( 69) <      > 	V 73 - M 69	= +4  %+5  	q= +4  %+5  	 0.418(75)
