	voice Midi Diff								present		 Best		Sec

printNotes: i= 119-<2334 2312  22>,  	 F2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(84)
printNotes: i= 120-<2434 2496 -62>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(84)
printNotes: i= 121-<2196 2163  33>,  	Ek2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(84)
printNotes: i= 122-<2432 2496 -64>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(84)
printNotes: i= 123-<2179 2163  16>,  	Ek2 --  1/16th.( 46) <      > 	V 41 - M 46	= -5  %-12  	q= -5  %-12  	 0.232(84)
printNotes: i= 124-<2385 2496 -111>,  	 G2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(84)
printNotes: i= 125-<2089 2036  53>,  	 D2 --  1/16th.( 46) <      > 	V 44 - M 46	= -2  %-5  	q= -2  %-5  	 0.250(84)
printNotes: i= 126-<1968 2496 -528>,  	 G2 --   128th.(  6) <      > 	V  6 - M  8	= -2  %-33  	q=  +  %+0  	 0.029(84)<-----%33   %0 <<

printNotes: i= 127-<2046 2036  10>,  	 D2 --    1/8th( 62) <      > 	V 64 - M 62	= +2  %+3  	q= +2  %+3  	 0.366(84)
printNotes: i= 128-<2229 2312 -83>,  	 F2 --   128th.(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(84)
printNotes: i= 129-<2160 2163  -3>,  	Ek2 --    1/8th( 62) <      > 	V 70 - M 62	= +8  %+11  	q= +8  %+11  	 0.401(84)
printNotes: i= 130-<2202 2312 -110>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)
printNotes: i= 131-<2037 2036   1>,  	 D2 --    1/4th(123) <      > 	V119 - M123	= -4  %-3  	q= -4  %-3  	 0.685(84)
printNotes: i= 132-<1882 1836  46>,  	 C2 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(84)
printNotes: i= 133-<2111 2163 -52>,  	Ek2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)
printNotes: i= 134-<2050 2036  14>,  	 D2 --     half(247) <      > 	V258 - M247	=+11  %+4  	q=+11  %+4  	 1.492(84)
printNotes: i= 135-<2414 2496 -82>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 11	=  +  %+0  	q= -1  %-9  	 0.058(84)


 metronome= 83.84  saveiyend(end)/(160*scaleFactor))= 47.30  X(saveiyend(end))=33.85  second per dot=0.00580
siaah == 123  scaleFactor=0.77   fs=44100 


  9whole,    8878
  2whole,    986
 whole..,    863
  whole.,    740
   whole,    493
  half..,    432
   half.,    370
    half,    247
 1/4th..,    216
  1/4th.,    185
   1/4th,    123
 1/8th..,    108
  1/8th.,    92
   1/8th,    62
1/16th..,    54
 1/16th.,    46
  1/16th,    31
1/32nd..,    27
 1/32nd.,    23
  1/32nd,    15
1/64th..,    13
 1/64th.,    12
  1/64th,    8
 128th..,    7
  128th.,    6
   128th,    4
 256th..,    3
  256th.,    3
   256th,    2
 512nd..,    2
  512nd.,    1
   512nd,    1
1024th..,    1
 1024th.,    1
  1024th,    0
____zero,    0
