	voice Midi Diff								present		 Best		Sec

printNotes: i= 160-<2536 2515  21>,  	 G2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 161-<2651 2663 -12>,  	Ak2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(90)
printNotes: i= 162-<2804 2815 -11>,  	Bb2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(90)
printNotes: i= 163-<2468 2663 -195>,  	Ak2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(90)
printNotes: i= 164-<2858 2815  43>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 13	= -2  %-18  	q=  +  %+0  	 0.058(90)<-----%18   %0 <<

printNotes: i= 165-<2696 2663  33>,  	Ak2 --   1/16th( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(90)
printNotes: i= 166-<2587 2815 -228>,  	Bb2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 167-<2524 2515   9>,  	 G2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(90)
printNotes: i= 168-<2756 2815 -59>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(90)
printNotes: i= 169-<2521 2515   6>,  	 G2 --  1/16th.( 43) <      > 	V 44 - M 43	= +1  %+2  	q= +1  %+2  	 0.250(90)
printNotes: i= 170-<2663 2663    >,  	Ak2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 171-<2315 2312   3>,  	 F2 --    1/8th( 57) <      > 	V 54 - M 57	= -3  %-6  	q= -3  %-6  	 0.308(90)
printNotes: i= 172-<2489 2515 -26>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(90)
printNotes: i= 173-<2331 2312  19>,  	 F2 --    1/4th(115) <1*sela> 	V135 - M115	=+20  %+15  	q=+20  %+15  	 0.778(90)
