	voice Midi Diff								present		 Best		Sec

printNotes: i= 150-<3324 3296  28>,  	Eb3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(85)
printNotes: i= 151-<3052 3018  34>,  	 C3 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(85)
printNotes: i= 152-<2831 2817  14>,  	Bb2 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(85)
printNotes: i= 153-<2655 2661  -6>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(85)
printNotes: i= 154-<2837 2817  20>,  	Bb2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(85)
printNotes: i= 155-<2998 3018 -20>,  	 C3 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(85)
printNotes: i= 156-<2820 2817   3>,  	Bb2 --  1/32nd.( 23) <      > 	V 19 - M 46	=-27  %-142  	q= -4  %-21  	 0.104(85)<-----%142   %21

printNotes: i= 157-<2827 3018 -191>,  	 C3 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(85)
printNotes: i= 158-<3301 3296   5>,  	Eb3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(85)
printNotes: i= 159-<3040 3018  22>,  	 C3 -- 1/16th..( 53) <      > 	V 50 - M 53	= -3  %-6  	q= -3  %-6  	 0.284(85)
printNotes: i= 160-< 730 3196 -2466>,  	 D3 -- 1/64th..( 13) <      > 	V 13 - M 11	= +2  %+15  	q=  +  %+0  	 0.070(85)<-----%15   %0 <<

printNotes: i= 161-<2947 3018 -71>,  	 C3 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(85)


silence
printNotes: i= 162-<   0   40 -40>,  	Slc --   1/4th.(183) <-1*sela> 	V163 - M183	=-20  %-12  	q=-20  %-12  	 0.940(85)
printNotes: i= 163-<2082 1755 327>,  	 B1 --  1/32nd.( 23) <      > 	V 24 - M 27	= -3  %-12  	q= +1  %+4  	 0.134(85)<-----%12   %4

printNotes: i= 164-<2970 3018 -48>,  	 C3 --  1/8th..(106) <      > 	V109 - M114	= -5  %-5  	q= +3  %+3  	 0.627(85)
printNotes: i= 165-<3331 3296  35>,  	Eb3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(85)
printNotes: i= 166-<3035 3018  17>,  	 C3 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(85)
printNotes: i= 167-<2819 2817   2>,  	Bb2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(85)
printNotes: i= 168-<2656 2661  -5>,  	Ak2 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(85)
printNotes: i= 169-<2808 2817  -9>,  	Bb2 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(85)
printNotes: i= 170-<2978 3018 -40>,  	 C3 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(85)
printNotes: i= 171-<2823 2817   6>,  	Bb2 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(85)
printNotes: i= 172-<3017 3018  -1>,  	 C3 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(85)
printNotes: i= 173-<3196 3196    >,  	 D3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(85)
printNotes: i= 174-<3018 3018    >,  	 C3 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(85)
printNotes: i= 175-<2839 2817  22>,  	Bb2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(85)
