	voice Midi Diff								present		 Best		Sec

printNotes: i= 142-<2664 2644  20>,  	 A2 --   1/16th( 33) <      > 	V 35 - M 66	=-31  %-89  	q= +2  %+6  	 0.197(78)<-----%89   %6

printNotes: i= 143-<1973 2470 -497>,  	 G2 --   1/8th.(100) <      > 	V106 - M 66	=+40  %+38  	q= +6  %+6  	 0.610(78)<-----%38   %6

printNotes: i= 144-<2779 2744  35>,  	Bb2 --  1/32nd.( 25) <      > 	V 25 - M 33	= -8  %-32  	q=  +  %+0  	 0.139(78)<-----%32   %0

printNotes: i= 145-<2630 2644 -14>,  	 A2 --  1/32nd.( 25) <      > 	V 24 - M 33	= -9  %-38  	q= -1  %-4  	 0.134(78)<-----%38   %4

printNotes: i= 146-<2493 2470  23>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 17	= -5  %-42  	q=  +  %+0  	 0.064(78)<-----%42   %0 <<

printNotes: i= 147-<2523 2644 -121>,  	 A2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 148-<2463 2470  -7>,  	 G2 --    1/8th( 66) <      > 	V 78 - M100	=-22  %-28  	q=+12  %+15  	 0.447(78)<-----%28   %15

printNotes: i= 149-<2667 2644  23>,  	 A2 --    1/8th( 66) <      > 	V 62 - M 66	= -4  %-6  	q= -4  %-6  	 0.354(78)
printNotes: i= 150-<2479 2470   9>,  	 G2 --   1/8th.(100) <      > 	V103 - M 66	=+37  %+36  	q= +3  %+3  	 0.592(78)<-----%36   %3

printNotes: i= 151-<2269 2259  10>,  	 F2 --    1/8th( 66) <      > 	V 74 - M 66	= +8  %+11  	q= +8  %+11  	 0.424(78)
printNotes: i= 152-<2453 2470 -17>,  	 G2 --   1/16th( 33) <      > 	V 32 - M 17	=+15  %+47  	q= -1  %-3  	 0.180(78)<-----%47   %3

printNotes: i= 153-<2665 2644  21>,  	 A2 -- 1/32nd..( 29) <      > 	V 28 - M 22	= +6  %+21  	q= -1  %-4  	 0.157(78)<-----%21   %4

printNotes: i= 154-<2521 2470  51>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 11	=  +  %+0  	q= -1  %-9  	 0.058(78)
printNotes: i= 155-< 869 2644 -1775>,  	 A2 --  1/64th.( 12) <      > 	V  9 - M 11	= -2  %-22  	q= -3  %-33  	 0.046(78)
printNotes: i= 156-<2184 2470 -286>,  	 G2 --  1/32nd.( 25) <      > 	V 24 - M 22	= +2  %+8  	q= -1  %-4  	 0.134(78)<-----%8   %4

printNotes: i= 157-<2083 2259 -176>,  	 F2 -- 1/64th..( 15) <      > 	V 16 - M 11	= +5  %+31  	q= +1  %+6  	 0.087(78)<-----%31   %6 <<

printNotes: i= 158-<1807 2470 -663>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 11	= -1  %-10  	q= +2  %+20  	 0.052(78)
printNotes: i= 159-<2260 2259   1>,  	 F2 --   1/16th( 33) <      > 	V 31 - M 22	= +9  %+29  	q= -2  %-6  	 0.174(78)<-----%29   %6

