	voice Midi Diff								present		 Best		Sec

printNotes: i= 109-<1181 1763 -582>,  	 C2 -- 1/16th..( 53) <      > 	V 53 - M 53	=  +  %+0  	q=  +  %+0  	 0.302(86)
printNotes: i= 110-<1758 1763  -5>,  	 C2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(86)<-- same note
printNotes: i= 111-<1659 1636  23>,  	Bk1 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(86)
printNotes: i= 112-<1759 1763  -4>,  	 C2 --  1/16th.( 45) <      > 	V 48 - M 45	= +3  %+6  	q= +3  %+6  	 0.273(86)


silence
printNotes: i= 113-<   0   40 -40>,  	Slc --    half.(361) <-2*sela> 	V324 - M361	=-37  %-11  	q=-37  %-11  	 1.875(86)
printNotes: i= 114-< 603 1277 -674>,  	 G1 --    1/8th( 60) <      > 	V 65 - M 60	= +5  %+8  	q= +5  %+8  	 0.372(86)
printNotes: i= 115-<1707 1763 -56>,  	 C2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(86)
printNotes: i= 116-< 677 1763 -1086>,  	 C2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(86)<-- same note
printNotes: i= 117-< 909 1636 -727>,  	Bk1 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i= 118-<1109 1763 -654>,  	 C2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i= 119-<1537 1474  63>,  	 A1 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(86)
printNotes: i= 120-<1077 1636 -559>,  	Bk1 --  1/64th.( 11) <      > 	V  9 - M 11	= -2  %-22  	q= -2  %-22  	 0.046(86)
printNotes: i= 121-<1116 1277 -161>,  	 G1 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(86)
printNotes: i= 122-<1469 1474  -5>,  	 A1 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(86)
printNotes: i= 123-<1756 1763  -7>,  	 C2 --  1/4th..(211) <      > 	V198 - M211	=-13  %-7  	q=-13  %-7  	 1.144(86)
printNotes: i= 124-<2035 2167 -132>,  	 E2 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(86)
printNotes: i= 125-<1781 1763  18>,  	 C2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(86)
printNotes: i= 126-<1618 1636 -18>,  	Bk1 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
printNotes: i= 127-<1661 1763 -102>,  	 C2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(86)
printNotes: i= 128-<1466 1474  -8>,  	 A1 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(86)
printNotes: i= 129-<1592 1574  18>,  	Bb1 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(86)
printNotes: i= 130-<1632 1636  -4>,  	Bk1 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(86)
printNotes: i= 131-<1762 1763  -1>,  	 C2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(86)
printNotes: i= 132-<1983 1973  10>,  	 D2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(86)
printNotes: i= 133-<1766 1763   3>,  	 C2 --   1/4th.(181) <      > 	V168 - M181	=-13  %-8  	q=-13  %-8  	 0.969(86)
printNotes: i= 134-<2032 2125 -93>,  	Ek2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(86)
printNotes: i= 135-<1783 1763  20>,  	 C2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(86)
printNotes: i= 136-<1587 1574  13>,  	Bb1 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(86)
printNotes: i= 137-<1644 1636   8>,  	Bk1 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(86)
